RC_id,SR_id,RC_path,RC_filename,RC_read_direction,RC_reads
RC_seq230707_DWDQH_A_230622_16S_c_63_6_S156_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-63-6_S156_L001_R1_001.fastq.gz,A-230622-16S-c-63-6_S156_L001_R1_001.fastq.gz,R1,46255
RC_seq230707_DWDQH_R_140722_16S_c_133_S73_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-140722-16S-c-133_S73_L001_R1_001.fastq.gz,R-140722-16S-c-133_S73_L001_R1_001.fastq.gz,R1,24176
RC_seq230707_DWDQH_R_140722_16S_c_135_S75_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-140722-16S-c-135_S75_L001_R2_001.fastq.gz,R-140722-16S-c-135_S75_L001_R2_001.fastq.gz,R2,27700
RC_seq230707_DWDQH_R_P3_16S_c_pos_S97_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-P3-16S-c-pos_S97_L001_R2_001.fastq.gz,R-P3-16S-c-pos_S97_L001_R2_001.fastq.gz,R2,37541
RC_seq230707_DWDQH_R_210622_16S_c_33_S20_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-210622-16S-c-33_S20_L001_R2_001.fastq.gz,R-210622-16S-c-33_S20_L001_R2_001.fastq.gz,R2,43446
RC_seq230707_DWDQH_R_160622_16S_c_12_S12_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-160622-16S-c-12_S12_L001_R2_001.fastq.gz,R-160622-16S-c-12_S12_L001_R2_001.fastq.gz,R2,24333
RC_seq230707_DWDQH_A_230622_16S_c_53_S112_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-53_S112_L001_R2_001.fastq.gz,A-230622-16S-c-53_S112_L001_R2_001.fastq.gz,R2,58377
RC_seq230707_DWDQH_R_040722_16S_c_118_S58_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-040722-16S-c-118_S58_L001_R1_001.fastq.gz,R-040722-16S-c-118_S58_L001_R1_001.fastq.gz,R1,27893
RC_seq230707_DWDQH_R_P1_16S_c_pos_S88_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-P1-16S-c-pos_S88_L001_R2_001.fastq.gz,R-P1-16S-c-pos_S88_L001_R2_001.fastq.gz,R2,17693
RC_seq230707_DWDQH_A_230622_16S_c_60_5_S135_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-60-5_S135_L001_R1_001.fastq.gz,A-230622-16S-c-60-5_S135_L001_R1_001.fastq.gz,R1,46445
RC_seq230707_DWDQH_R_140722_16S_c_126_S66_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-140722-16S-c-126_S66_L001_R2_001.fastq.gz,R-140722-16S-c-126_S66_L001_R2_001.fastq.gz,R2,34124
RC_seq230707_DWDQH_H_200622_16S_c_22_1_S150_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/H-200622-16S-c-22-1_S150_L001_R2_001.fastq.gz,H-200622-16S-c-22-1_S150_L001_R2_001.fastq.gz,R2,17306
RC_seq230707_DWDQH_H_200622_16S_c_22_7_S156_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/H-200622-16S-c-22-7_S156_L001_R1_001.fastq.gz,H-200622-16S-c-22-7_S156_L001_R1_001.fastq.gz,R1,18576
RC_seq230707_DWDQH_A_230622_16S_c_57_S116_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-57_S116_L001_R1_001.fastq.gz,A-230622-16S-c-57_S116_L001_R1_001.fastq.gz,R1,40123
RC_seq230707_DWDQH_R_210622_16S_c_43_7_S72_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-210622-16S-c-43-7_S72_L001_R1_001.fastq.gz,R-210622-16S-c-43-7_S72_L001_R1_001.fastq.gz,R1,50107
RC_seq230707_DWDQH_A_230622_16S_c_59_3_S126_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-59-3_S126_L001_R2_001.fastq.gz,A-230622-16S-c-59-3_S126_L001_R2_001.fastq.gz,R2,40716
RC_seq230707_DWDQH_A_230622_16S_c_60_3_S133_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-60-3_S133_L001_R2_001.fastq.gz,A-230622-16S-c-60-3_S133_L001_R2_001.fastq.gz,R2,55490
RC_seq230707_DWDQH_R_P4_16S_c_pos_S186_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-P4-16S-c-pos_S186_L001_R1_001.fastq.gz,R-P4-16S-c-pos_S186_L001_R1_001.fastq.gz,R1,53838
