Path	Reads	TTC	ACG
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/A-230622-16S-c-57_S116_L001_R1_001.fastq.gz	40123	0	39612
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-140722-16S-c-126_S66_L001_R2_001.fastq.gz	34124	2	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-43-7_S72_L001_R1_001.fastq.gz	50107	0	49675
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-040722-16S-c-118_S58_L001_R1_001.fastq.gz	27893	0	27594
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/A-230622-16S-c-59-3_S126_L001_R2_001.fastq.gz	40716	140	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-P1-16S-c-pos_S88_L001_R2_001.fastq.gz	17693	96	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/A-230622-16S-c-50-7_S103_L001_R2_001.fastq.gz	44895	105	1
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/H-200622-16S-c-22-1_S150_L001_R2_001.fastq.gz	17306	54	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/H-200622-16S-c-22-7_S156_L001_R1_001.fastq.gz	18576	0	18296
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/A-230622-16S-c-50-2_S98_L001_R1_001.fastq.gz	38903	0	38493
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/A-230622-16S-c-70-3_S166_L001_R2_001.fastq.gz	42513	104	1
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-280622-16S-c-79_S19_L001_R2_001.fastq.gz	29474	29	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/H-200622-16S-c-24-1_S163_L001_R1_001.fastq.gz	32118	0	31656
