Path	Reads
./seq230707_DWDQH/R-P1-16S-c-pos_S88_L001_R1_001.fastq.gz	17693
./seq230707_DWDQH/R-280622-16S-c-79_S19_L001_R1_001.fastq.gz	29474
./seq230707_DWDQH/R-210622-16S-c-38-4_S52_L001_R1_001.fastq.gz	30518
./seq230707_DWDQH/R-140722-16S-c-126_S66_L001_R1_001.fastq.gz	34124
./seq230707_DWDQH/A-230622-16S-c-72-5_S182_L001_R2_001.fastq.gz	53481
./seq230707_DWDQH/H-200622-16S-c-24-1_S163_L001_R2_001.fastq.gz	32118
./seq230707_DWDQH/R-040722-16S-c-118_S58_L001_R2_001.fastq.gz	27893
./seq230707_DWDQH/A-230622-16S-c-70-3_S166_L001_R1_001.fastq.gz	42513
./seq230707_DWDQH/A-230622-16S-c-50-7_S103_L001_R1_001.fastq.gz	44895
./seq230707_DWDQH/R-160622-16S-c-12_S12_L001_R1_001.fastq.gz	24333
./seq230707_DWDQH/H-200622-16S-c-19-4_S132_L001_R1_001.fastq.gz	19712
./seq230707_DWDQH/A-230622-16S-c-59-3_S126_L001_R1_001.fastq.gz	40716
./seq230707_DWDQH/R-210622-16S-c-43-7_S72_L001_R2_001.fastq.gz	50107
./seq230707_DWDQH/H-200622-16S-c-23-2_S158_L001_R1_001.fastq.gz	22572
./seq230707_DWDQH/R-210622-16S-c-47_S82_L001_R2_001.fastq.gz	25516
./seq230707_DWDQH/R-210622-16S-c-33_S20_L001_R1_001.fastq.gz	43446
./seq230707_DWDQH/A-230622-16S-c-57_S116_L001_R2_001.fastq.gz	40123
./seq230707_DWDQH/R-140722-16S-c-135_S75_L001_R1_001.fastq.gz	27700
./seq230707_DWDQH/R-140722-16S-c-133_S73_L001_R2_001.fastq.gz	24176
./seq230707_DWDQH/R-210622-16S-c-36-2_S36_L001_R1_001.fastq.gz	26478
./seq230707_DWDQH/R-040722-16S-c-114_S54_L001_R1_001.fastq.gz	20717
./seq230707_DWDQH/R-P3-16S-c-pos_S97_L001_R1_001.fastq.gz	37541
./seq230707_DWDQH/R-040722-16S-c-112_S52_L001_R2_001.fastq.gz	27367
./seq230707_DWDQH/A-230622-16S-c-63-6_S156_L001_R2_001.fastq.gz	46255
./seq230707_DWDQH/H-200622-16S-c-16-7_S115_L001_R1_001.fastq.gz	18511
./seq230707_DWDQH/R-210622-16S-c-26-2_S84_L001_R1_001.fastq.gz	23006
./seq230707_DWDQH/A-230622-16S-c-60-5_S135_L001_R2_001.fastq.gz	46445
./seq230707_DWDQH/R-210622-16S-c-25-2_S171_L001_R2_001.fastq.gz	25715
./seq230707_DWDQH/R-210622-16S-c-34-6_S26_L001_R2_001.fastq.gz	45333
./seq230707_DWDQH/A-230622-16S-c-60-3_S133_L001_R1_001.fastq.gz	55490
./seq230707_DWDQH/H-200622-16S-c-21-2_S144_L001_R1_001.fastq.gz	35196
./seq230707_DWDQH/R-280622-16S-c-73_S13_L001_R1_001.fastq.gz	20903
./seq230707_DWDQH/R-280622-16S-c-75_S15_L001_R2_001.fastq.gz	29713
./seq230707_DWDQH/R-P4-16S-c-pos_S186_L001_R2_001.fastq.gz	53838
./seq230707_DWDQH/H-200622-16S-c-16-1_S109_L001_R2_001.fastq.gz	22006
./seq230707_DWDQH/R-210622-16S-c-26-1_S1_L001_R1_001.fastq.gz	15935
./seq230707_DWDQH/R-040722-16S-c-101_S41_L001_R2_001.fastq.gz	23844
./seq230707_DWDQH/R-210622-16S-c-37-6_S47_L001_R1_001.fastq.gz	32103
./seq230707_DWDQH/H-200622-16S-c-13-3_S92_L001_R1_001.fastq.gz	19909
./seq230707_DWDQH/A-230622-16S-c-61-7_S143_L001_R1_001.fastq.gz	58193
./seq230707_DWDQH/A-230622-16S-c-49-1_S90_L001_R1_001.fastq.gz	39249
./seq230707_DWDQH/R-140722-16S-c-139_S79_L001_R2_001.fastq.gz	29314
./seq230707_DWDQH/R-040722-16S-c-107_S47_L001_R1_001.fastq.gz	30562
./seq230707_DWDQH/H-200622-16S-c-13-5_S94_L001_R2_001.fastq.gz	27181
./seq230707_DWDQH/R-210622-16S-c-39-4_S59_L001_R1_001.fastq.gz	25552
./seq230707_DWDQH/R-210622-16S-c-26-6_S6_L001_R1_001.fastq.gz	30418
./seq230707_DWDQH/R-210622-16S-c-48-4_S86_L001_R1_001.fastq.gz	35430
./seq230707_DWDQH/R-210622-16S-c-35-4_S31_L001_R1_001.fastq.gz	38907
./seq230707_DWDQH/R-210622-16S-c-39-6_S61_L001_R1_001.fastq.gz	27259
./seq230707_DWDQH/R-210622-16S-c-30-6_S16_L001_R2_001.fastq.gz	33749
