Path	Reads
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1C_ITS_P1_crushed_newP_S31_R2_001.fastq.gz	6403
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1D_16S_P4_crushed_S20_R1_001.fastq.gz	2819
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1D_16S_P4_crushed_S20_R2_001.fastq.gz	2819
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1D_16S_P4_crushed_newP_S28_R1_001.fastq.gz	352
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1D_16S_P4_crushed_newP_S28_R2_001.fastq.gz	352
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1D_ITS_P1_crushed_S24_R1_001.fastq.gz	1305
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1D_ITS_P1_crushed_S24_R2_001.fastq.gz	1305
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1D_ITS_P1_crushed_newP_S32_R1_001.fastq.gz	24587
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1D_ITS_P1_crushed_newP_S32_R2_001.fastq.gz	24587
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-10G_S87_L001_R1_001.fastq.gz	3620934
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-10G_S87_L001_R2_001.fastq.gz	3620934
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-10G_S87_L002_R1_001.fastq.gz	3934028
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-10G_S87_L002_R2_001.fastq.gz	3934028
