LY,SP,LY_SP,SP_location,SP_sample_number,SP_block,SP_plot,SP_subplot,SP_spray_fungicide,SP_fertiliser,SP_cultivar,SP_density
LY_T_2023,SP_051,LY_T_2023__SP_051,T,51,2,51,5,FALSE,ZERO,Heerup,300
LY_T_2023,SP_052,LY_T_2023__SP_052,T,52,2,52,4,FALSE,ZERO,Heerup,450
LY_T_2023,SP_053,LY_T_2023__SP_053,T,53,2,53,5,FALSE,ZERO,Sheriff,300
LY_T_2023,SP_054,LY_T_2023__SP_054,T,54,2,54,6,FALSE,ZERO,Sheriff,150
LY_T_2023,SP_055,LY_T_2023__SP_055,T,55,2,55,5,FALSE,ZERO,Rembrandt,300
LY_T_2023,SP_056,LY_T_2023__SP_056,T,56,2,56,8,FALSE,ZERO,Heerup,150
LY_T_2023,SP_057,LY_T_2023__SP_057,T,57,2,57,9,FALSE,ZERO,Rembrandt,150
LY_T_2023,SP_058,LY_T_2023__SP_058,T,58,2,58,10,FALSE,ZERO,Kvium,150
LY_T_2023,SP_059,LY_T_2023__SP_059,T,59,2,59,5,FALSE,ZERO,Kvium,300
LY_T_2023,SP_060,LY_T_2023__SP_060,T,60,2,60,12,FALSE,ZERO,Rembrandt,450
LY_T_2023,SP_061,LY_T_2023__SP_061,T,61,2,61,6,FALSE,NORMAL,Heerup,300
LY_T_2023,SP_062,LY_T_2023__SP_062,T,62,2,62,2,FALSE,NORMAL,Kvium,150
LY_T_2023,SP_063,LY_T_2023__SP_063,T,63,2,63,3,FALSE,NORMAL,Sheriff,150
LY_T_2023,SP_064,LY_T_2023__SP_064,T,64,2,64,4,FALSE,NORMAL,Heerup,450
LY_T_2023,SP_065,LY_T_2023__SP_065,T,65,2,65,5,FALSE,NORMAL,Rembrandt,450
LY_T_2023,SP_066,LY_T_2023__SP_066,T,66,2,66,6,FALSE,NORMAL,Kvium,300
LY_T_2023,SP_067,LY_T_2023__SP_067,T,67,2,67,7,FALSE,NORMAL,Rembrandt,150
LY_T_2023,SP_068,LY_T_2023__SP_068,T,68,2,68,6,FALSE,NORMAL,Sheriff,300
LY_T_2023,SP_069,LY_T_2023__SP_069,T,69,2,69,9,FALSE,NORMAL,Heerup,150
LY_T_2023,SP_070,LY_T_2023__SP_070,T,70,2,70,10,FALSE,NORMAL,Kvium,450
LY_T_2023,SP_071,LY_T_2023__SP_071,T,71,2,71,11,FALSE,NORMAL,Sheriff,450
LY_T_2023,SP_072,LY_T_2023__SP_072,T,72,2,72,6,FALSE,NORMAL,Rembrandt,300
LY_T_2023,SP_073,LY_T_2023__SP_073,T,73,3,73,1,FALSE,HALF,Kvium,150
LY_T_2023,SP_074,LY_T_2023__SP_074,T,74,3,74,2,FALSE,HALF,Heerup,450
LY_T_2023,SP_075,LY_T_2023__SP_075,T,75,3,75,7,FALSE,HALF,Sheriff,300
LY_T_2023,SP_076,LY_T_2023__SP_076,T,76,3,76,4,FALSE,HALF,Heerup,150
LY_T_2023,SP_077,LY_T_2023__SP_077,T,77,3,77,5,FALSE,HALF,Rembrandt,450
LY_T_2023,SP_078,LY_T_2023__SP_078,T,78,3,78,6,FALSE,HALF,Rembrandt,150
LY_T_2023,SP_079,LY_T_2023__SP_079,T,79,3,79,7,FALSE,HALF,Sheriff,450
LY_T_2023,SP_080,LY_T_2023__SP_080,T,80,3,80,7,FALSE,HALF,Heerup,300
LY_T_2023,SP_081,LY_T_2023__SP_081,T,81,3,81,7,FALSE,HALF,Kvium,300
LY_T_2023,SP_082,LY_T_2023__SP_082,T,82,3,82,7,FALSE,HALF,Rembrandt,300
LY_T_2023,SP_083,LY_T_2023__SP_083,T,83,3,83,11,FALSE,HALF,Sheriff,150
LY_T_2023,SP_084,LY_T_2023__SP_084,T,84,3,84,12,FALSE,HALF,Kvium,450
LY_T_2023,SP_085,LY_T_2023__SP_085,T,85,3,85,1,FALSE,ZERO,Rembrandt,150
