FP_id,SA_id,SR_id,LP_id,FP_source,FP_rowname,FP_pair_number,FP_forward_fq,FP_reverse_fq,FP_forward_path,FP_reverse_path,FP_forward_reads,FP_reverse_reads,FP_include_control_crushed_amplicon,FP_control_crushed_amplicon_SA_id,FP_pair_reads,FP_total_reads,FP_has_read_count,FP_include_candidate,FP_exclude_reason
FP_SA_seq230710_GW4I8_T_2020_ITS_c_15_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_15__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_015_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-15_S15_L001_R1_001.fastq.gz,1,T-2020-ITS-c-15_S15_L001_R1_001.fastq.gz,T-2020-ITS-c-15_S15_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-15_S15_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-15_S15_L001_R2_001.fastq.gz,40996,40996,False,,40996,81992,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_14_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_14__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_014_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-14_S14_L001_R1_001.fastq.gz,1,T-2020-ITS-c-14_S14_L001_R1_001.fastq.gz,T-2020-ITS-c-14_S14_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-14_S14_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-14_S14_L001_R2_001.fastq.gz,22310,22310,False,,22310,44620,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_13_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_13__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_013_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-13_S13_L001_R1_001.fastq.gz,1,T-2020-ITS-c-13_S13_L001_R1_001.fastq.gz,T-2020-ITS-c-13_S13_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-13_S13_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-13_S13_L001_R2_001.fastq.gz,25955,25955,False,,25955,51910,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_12_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_12__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_012_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-12_S12_L001_R1_001.fastq.gz,1,T-2020-ITS-c-12_S12_L001_R1_001.fastq.gz,T-2020-ITS-c-12_S12_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-12_S12_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-12_S12_L001_R2_001.fastq.gz,19704,19704,False,,19704,39408,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_11_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_11__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_011_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-11_S11_L001_R1_001.fastq.gz,1,T-2020-ITS-c-11_S11_L001_R1_001.fastq.gz,T-2020-ITS-c-11_S11_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-11_S11_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-11_S11_L001_R2_001.fastq.gz,31249,31249,False,,31249,62498,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_10_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_10__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_010_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-10_S10_L001_R1_001.fastq.gz,1,T-2020-ITS-c-10_S10_L001_R1_001.fastq.gz,T-2020-ITS-c-10_S10_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-10_S10_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-10_S10_L001_R2_001.fastq.gz,24715,24715,False,,24715,49430,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_9_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_9__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_009_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-9_S9_L001_R1_001.fastq.gz,1,T-2020-ITS-c-9_S9_L001_R1_001.fastq.gz,T-2020-ITS-c-9_S9_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-9_S9_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-9_S9_L001_R2_001.fastq.gz,25620,25620,False,,25620,51240,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_8_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_8__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_008_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-8_S8_L001_R1_001.fastq.gz,1,T-2020-ITS-c-8_S8_L001_R1_001.fastq.gz,T-2020-ITS-c-8_S8_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-8_S8_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-8_S8_L001_R2_001.fastq.gz,33712,33712,False,,33712,67424,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_7_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_7__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_007_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-7_S7_L001_R1_001.fastq.gz,1,T-2020-ITS-c-7_S7_L001_R1_001.fastq.gz,T-2020-ITS-c-7_S7_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-7_S7_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-7_S7_L001_R2_001.fastq.gz,29792,29792,False,,29792,59584,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_6_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_6__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_006_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-6_S6_L001_R1_001.fastq.gz,1,T-2020-ITS-c-6_S6_L001_R1_001.fastq.gz,T-2020-ITS-c-6_S6_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-6_S6_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-6_S6_L001_R2_001.fastq.gz,43616,43616,False,,43616,87232,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_5_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_5__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_005_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-5_S5_L001_R1_001.fastq.gz,1,T-2020-ITS-c-5_S5_L001_R1_001.fastq.gz,T-2020-ITS-c-5_S5_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-5_S5_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-5_S5_L001_R2_001.fastq.gz,409,409,False,,409,818,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_4_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_4__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_004_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-4_S4_L001_R1_001.fastq.gz,1,T-2020-ITS-c-4_S4_L001_R1_001.fastq.gz,T-2020-ITS-c-4_S4_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-4_S4_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-4_S4_L001_R2_001.fastq.gz,30067,30067,False,,30067,60134,True,True,
