SP_id,SP_sample_number,SP_plot,SP_source_values,SP_row_count
SP_114,114.0,114.0,SP_114,3
SP_115,115.0,115.0,SP_115,3
SP_116,116.0,116.0,SP_116,3
SP_117,117.0,117.0,SP_117,3
SP_118,118.0,118.0,SP_118,3
SP_119,119.0,119.0,SP_119,3
SP_120,120.0,120.0,SP_120,3
SP_121,121.0,121.0,SP_121,3
SP_122,122.0,122.0,SP_122,3
SP_123,123.0,123.0,SP_123,3
SP_124,124.0,124.0,SP_124,3
SP_125,125.0,125.0,SP_125,3
SP_126,126.0,126.0,SP_126,3
SP_127,127.0,127.0,SP_127,3
SP_128,128.0,128.0,SP_128,3
SP_129,129.0,129.0,SP_129,3
SP_130,130.0,130.0,SP_130,3
SP_131,131.0,131.0,SP_131,3
SP_132,132.0,132.0,SP_132,3
SP_133,133.0,133.0,SP_133,3
SP_134,134.0,134.0,SP_134,3
SP_135,135.0,135.0,SP_135,3
SP_136,136.0,136.0,SP_136,3
SP_137,137.0,137.0,SP_137,3
SP_138,138.0,138.0,SP_138,3
SP_139,139.0,139.0,SP_139,3
SP_140,140.0,140.0,SP_140,3
SP_141,141.0,141.0,SP_141,3
SP_142,142.0,142.0,SP_142,3
SP_143,143.0,143.0,SP_143,3
SP_144,144.0,144.0,SP_144,3
