EX_id,BS_id,EX_date,EX_plate,EX_dna_conc,EX_row_count
EX_LY_A_2022_SP_004_BS_230622_W_1_EX_230725,BS_230622_W_1,2023-07-25,8.0,0.096,3
EX_LY_A_2022_SP_004_BS_230622_W_2_EX_230725,BS_230622_W_2,2023-07-25,8.0,0.124,3
EX_LY_A_2022_SP_004_BS_230622_W_3_EX_230725,BS_230622_W_3,2023-07-25,8.0,0.12,3
EX_LY_A_2022_SP_004_BS_230622_W_4_EX_230725,BS_230622_W_4,2023-07-25,8.0,0.418,3
EX_LY_A_2022_SP_004_BS_230622_W_5_EX_230725,BS_230622_W_5,2023-07-25,8.0,0.032,3
EX_LY_A_2022_SP_004_BS_230622_W_6_EX_230726,BS_230622_W_6,2023-07-26,8.0,0.215,3
EX_LY_A_2022_SP_004_BS_230622_W_7_EX_230726,BS_230622_W_7,2023-07-26,8.0,0.675,3
EX_LY_A_2022_SP_005_BS_220623_C_0_EX_221012,BS_220623_C_0,2022-10-12,4.0 | 4,,11
EX_LY_A_2022_SP_005_BS_230622_W_1_EX_230726,BS_230622_W_1,2023-07-26,8.0,0.373,3
EX_LY_A_2022_SP_005_BS_230622_W_2_EX_230726,BS_230622_W_2,2023-07-26,8.0,0.007,3
EX_LY_A_2022_SP_005_BS_230622_W_3_EX_230726,BS_230622_W_3,2023-07-26,8.0,0.013,3
EX_LY_A_2022_SP_005_BS_230622_W_4_EX_230726,BS_230622_W_4,2023-07-26,8.0,0.19,3
EX_LY_A_2022_SP_005_BS_230622_W_5_EX_230726,BS_230622_W_5,2023-07-26,8.0,0.032,3
EX_LY_A_2022_SP_005_BS_230622_W_6_EX_230726,BS_230622_W_6,2023-07-26,8.0,0.072,3
EX_LY_A_2022_SP_005_BS_230622_W_7_EX_230726,BS_230622_W_7,2023-07-26,8.0,0.223,3
EX_LY_A_2022_SP_006_BS_220623_C_0_EX_221012,BS_220623_C_0,2022-10-12,4.0 | 4,,11
EX_LY_A_2022_SP_006_BS_230622_W_1_EX_230726,BS_230622_W_1,2023-07-26,8.0,0.053,3
EX_LY_A_2022_SP_006_BS_230622_W_2_EX_230726,BS_230622_W_2,2023-07-26,8.0,0.023,3
EX_LY_A_2022_SP_006_BS_230622_W_3_EX_230726,BS_230622_W_3,2023-07-26,8.0,0.198,3
EX_LY_A_2022_SP_006_BS_230622_W_4_EX_230726,BS_230622_W_4,2023-07-26,8.0,0.062,3
EX_LY_A_2022_SP_006_BS_230622_W_5_EX_230726,BS_230622_W_5,2023-07-26,8.0,0.045,3
EX_LY_A_2022_SP_006_BS_230622_W_6_EX_230726,BS_230622_W_6,2023-07-26,8.0,0.215,3
EX_LY_A_2022_SP_006_BS_230622_W_7_EX_230726,BS_230622_W_7,2023-07-26,8.0,0.784,3
