SA_id,LP_id,SR_id,BS_id,EX_id,LS_id,LY_id,SP_id,SA_source,SA_seq_sample_ID,SA_is_rerun,SA_sequencing_run,SA_duplicate_number
SA_seq230710_GW4I8__T_2020_ITS_c_10__2020_washed_amplicon,LP_LY_T_2020_SP_010_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_010_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_010,LY_T_2020,SP_010,2020_washed_amplicon,T-2020-ITS-c-10,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_9__2020_washed_amplicon,LP_LY_T_2020_SP_009_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_009_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_009,LY_T_2020,SP_009,2020_washed_amplicon,T-2020-ITS-c-9,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_8__2020_washed_amplicon,LP_LY_T_2020_SP_008_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_008_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_008,LY_T_2020,SP_008,2020_washed_amplicon,T-2020-ITS-c-8,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_7__2020_washed_amplicon,LP_LY_T_2020_SP_007_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_007_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_007,LY_T_2020,SP_007,2020_washed_amplicon,T-2020-ITS-c-7,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_6__2020_washed_amplicon,LP_LY_T_2020_SP_006_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_006_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_006,LY_T_2020,SP_006,2020_washed_amplicon,T-2020-ITS-c-6,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_5__2020_washed_amplicon,LP_LY_T_2020_SP_005_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_005_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_005,LY_T_2020,SP_005,2020_washed_amplicon,T-2020-ITS-c-5,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_4__2020_washed_amplicon,LP_LY_T_2020_SP_004_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_004_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_004,LY_T_2020,SP_004,2020_washed_amplicon,T-2020-ITS-c-4,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_3__2020_washed_amplicon,LP_LY_T_2020_SP_003_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_003_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_003,LY_T_2020,SP_003,2020_washed_amplicon,T-2020-ITS-c-3,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_2__2020_washed_amplicon,LP_LY_T_2020_SP_002_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_002_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_002,LY_T_2020,SP_002,2020_washed_amplicon,T-2020-ITS-c-2,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_25__2020_washed_amplicon,LP_LY_T_2020_SP_025_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_025_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_025,LY_T_2020,SP_025,2020_washed_amplicon,T-2020-ITS-c-25,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_26__2020_washed_amplicon,LP_LY_T_2020_SP_026_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_026_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_026,LY_T_2020,SP_026,2020_washed_amplicon,T-2020-ITS-c-26,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_27__2020_washed_amplicon,LP_LY_T_2020_SP_027_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_027_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_027,LY_T_2020,SP_027,2020_washed_amplicon,T-2020-ITS-c-27,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_28__2020_washed_amplicon,LP_LY_T_2020_SP_028_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_028_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_028,LY_T_2020,SP_028,2020_washed_amplicon,T-2020-ITS-c-28,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_52__2020_washed_amplicon,LP_LY_X_0000_SP_000_BS_ALXCTL_X_0_EX_000000_LP_230428_ITS,seq230710_GW4I8,BS_ALXCTL_X_0,EX_LY_X_0000_SP_000_BS_ALXCTL_X_0_EX_000000,LS_LY_X_0000_SP_000,LY_X_0000,SP_000,2020_washed_amplicon,T-2020-ITS-c-52,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_51__2020_washed_amplicon,LP_LY_X_0000_SP_000_BS_ALXCTL_X_0_EX_000000_LP_230428_ITS,seq230710_GW4I8,BS_ALXCTL_X_0,EX_LY_X_0000_SP_000_BS_ALXCTL_X_0_EX_000000,LS_LY_X_0000_SP_000,LY_X_0000,SP_000,2020_washed_amplicon,T-2020-ITS-c-51,False,seq230710_GW4I8,1
