FF_id,FP_id,SA_id,SR_id,FF_read_direction,FF_filename,FF_relative_path,FF_reads
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_18_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_18_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_18__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-18_S18_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-18_S18_L001_R1_001.fastq.gz,27187
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_18_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_18_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_18__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-18_S18_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-18_S18_L001_R2_001.fastq.gz,27187
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_17_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_17_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_17__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-17_S17_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-17_S17_L001_R1_001.fastq.gz,23398
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_17_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_17_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_17__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-17_S17_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-17_S17_L001_R2_001.fastq.gz,23398
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_16_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_16_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_16__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-16_S16_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-16_S16_L001_R1_001.fastq.gz,31505
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_16_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_16_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_16__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-16_S16_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-16_S16_L001_R2_001.fastq.gz,31505
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_15_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_15_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_15__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-15_S15_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-15_S15_L001_R1_001.fastq.gz,40996
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_15_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_15_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_15__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-15_S15_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-15_S15_L001_R2_001.fastq.gz,40996
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_14_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_14_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_14__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-14_S14_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-14_S14_L001_R1_001.fastq.gz,22310
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_14_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_14_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_14__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-14_S14_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-14_S14_L001_R2_001.fastq.gz,22310
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_13_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_13_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_13__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-13_S13_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-13_S13_L001_R1_001.fastq.gz,25955
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_13_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_13_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_13__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-13_S13_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-13_S13_L001_R2_001.fastq.gz,25955
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_12_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_12_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_12__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-12_S12_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-12_S12_L001_R1_001.fastq.gz,19704
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_12_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_12_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_12__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-12_S12_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-12_S12_L001_R2_001.fastq.gz,19704
