sampling_plot_id,location_year_id,scheme,grid_number,grid_point,distance,edge,block,plot,subplot,plot_label,x,y,spray_fungicide,fertiliser,cultivar,cultivar_alt,density,spray,fertilizer
SP__LY__2021__4.0__118.0__10.0,LY__2021,,,,,,4.0,118.0,10.0,,,,n,Zero,Rembrandt,,300.0,,
SP__LY__2021__4.0__144.0__12.0,LY__2021,,,,,,4.0,144.0,12.0,,,,n,Normal,Kvium,,450.0,,
SP__LY__2021__4.0__143.0__12.0,LY__2021,,,,,,4.0,143.0,12.0,,,,n,Normal,Sheriff,,150.0,,
SP__LY__2021__4.0__142.0__12.0,LY__2021,,,,,,4.0,142.0,12.0,,,,n,Normal,Rembrandt,,150.0,,
SP__LY__2021__4.0__141.0__12.0,LY__2021,,,,,,4.0,141.0,12.0,,,,n,Normal,Rembrandt,,450.0,,
SP__LY__2021__4.0__140.0__12.0,LY__2021,,,,,,4.0,140.0,12.0,,,,n,Normal,Sheriff,,300.0,,
SP__LY__2021__4.0__138.0__12.0,LY__2021,,,,,,4.0,138.0,12.0,,,,n,Normal,Heerup,,300.0,,
SP__LY__2021__4.0__137.0__12.0,LY__2021,,,,,,4.0,137.0,12.0,,,,n,Normal,Heerup,,150.0,,
SP__LY__2021__4.0__136.0__12.0,LY__2021,,,,,,4.0,136.0,12.0,,,,n,Normal,Kvium,,150.0,,
SP__LY__2021__4.0__135.0__12.0,LY__2021,,,,,,4.0,135.0,12.0,,,,n,Normal,Heerup,,450.0,,
SP__LY__2021__4.0__134.0__12.0,LY__2021,,,,,,4.0,134.0,12.0,,,,n,Normal,Sheriff,,450.0,,
SP__LY__2021__4.0__133.0__12.0,LY__2021,,,,,,4.0,133.0,12.0,,,,n,Normal,Rembrandt,,300.0,,
SP__LY__2021__4.0__139.0__12.0,LY__2021,,,,,,4.0,139.0,12.0,,,,n,Normal,Kvium,,300.0,,
SP__LY__2021__1.0__1.0__1.0,LY__2021,,,,,,1.0,1.0,1.0,,,,n,Half,Heerup,,450.0,,
SP__LY__2021__1.0__2.0__1.0,LY__2021,,,,,,1.0,2.0,1.0,,,,n,Half,Heerup,,300.0,,
SP__LY__2021__1.0__17.0__2.0,LY__2021,,,,,,1.0,17.0,2.0,,,,n,Normal,Rembrandt,,300.0,,
SP__LY__2021__1.0__16.0__2.0,LY__2021,,,,,,1.0,16.0,2.0,,,,n,Normal,Heerup,,450.0,,
SP__LY__2021__1.0__15.0__2.0,LY__2021,,,,,,1.0,15.0,2.0,,,,n,Normal,Sheriff,,450.0,,
SP__LY__2021__1.0__14.0__2.0,LY__2021,,,,,,1.0,14.0,2.0,,,,n,Normal,Sheriff,,150.0,,
SP__LY__2021__1.0__13.0__2.0,LY__2021,,,,,,1.0,13.0,2.0,,,,n,Normal,Kvium,,150.0,,
SP__LY__2021__1.0__12.0__1.0,LY__2021,,,,,,1.0,12.0,1.0,,,,n,Half,Kvium,,150.0,,
SP__LY__2021__1.0__11.0__1.0,LY__2021,,,,,,1.0,11.0,1.0,,,,n,Half,Rembrandt,,300.0,,
SP__LY__2021__1.0__10.0__1.0,LY__2021,,,,,,1.0,10.0,1.0,,,,n,Half,Sheriff,,150.0,,
SP__LY__2021__1.0__9.0__1.0,LY__2021,,,,,,1.0,9.0,1.0,,,,n,Half,Kvium,,300.0,,
SP__LY__2021__1.0__8.0__1.0,LY__2021,,,,,,1.0,8.0,1.0,,,,n,Half,Sheriff,,450.0,,
SP__LY__2021__1.0__7.0__1.0,LY__2021,,,,,,1.0,7.0,1.0,,,,n,Half,Heerup,,150.0,,
SP__LY__2021__1.0__6.0__1.0,LY__2021,,,,,,1.0,6.0,1.0,,,,n,Half,Rembrandt,,450.0,,
SP__LY__2021__1.0__5.0__1.0,LY__2021,,,,,,1.0,5.0,1.0,,,,n,Half,Rembrandt,,150.0,,
SP__LY__2021__1.0__4.0__1.0,LY__2021,,,,,,1.0,4.0,1.0,,,,n,Half,Sheriff,,300.0,,
SP__LY__2021__1.0__3.0__1.0,LY__2021,,,,,,1.0,3.0,1.0,,,,n,Half,Kvium,,450.0,,
SP__LY__2021__4.0__132.0__11.0,LY__2021,,,,,,4.0,132.0,11.0,,,,n,Half,Sheriff,,300.0,,
SP__LY__2021__1.0__18.0__2.0,LY__2021,,,,,,1.0,18.0,2.0,,,,n,Normal,Heerup,,300.0,,
SP__LY__2021__4.0__131.0__11.0,LY__2021,,,,,,4.0,131.0,11.0,,,,n,Half,Sheriff,,450.0,,
SP__LY__2021__4.0__129.0__11.0,LY__2021,,,,,,4.0,129.0,11.0,,,,n,Half,Heerup,,300.0,,
SP__LY__2021__3.0__108.0__9.0,LY__2021,,,,,,3.0,108.0,9.0,,,,n,Normal,Heerup,,150.0,,
SP__LY__2021__3.0__107.0__9.0,LY__2021,,,,,,3.0,107.0,9.0,,,,n,Normal,Kvium,,300.0,,
SP__LY__2021__3.0__106.0__9.0,LY__2021,,,,,,3.0,106.0,9.0,,,,n,Normal,Sheriff,,300.0,,
SP__LY__2021__3.0__105.0__9.0,LY__2021,,,,,,3.0,105.0,9.0,,,,n,Normal,Kvium,,450.0,,
SP__LY__2021__3.0__104.0__9.0,LY__2021,,,,,,3.0,104.0,9.0,,,,n,Normal,Sheriff,,450.0,,
SP__LY__2021__3.0__103.0__9.0,LY__2021,,,,,,3.0,103.0,9.0,,,,n,Normal,Rembrandt,,150.0,,
SP__LY__2021__4.0__109.0__10.0,LY__2021,,,,,,4.0,109.0,10.0,,,,n,Zero,Sheriff,,150.0,,
SP__LY__2021__3.0__102.0__9.0,LY__2021,,,,,,3.0,102.0,9.0,,,,n,Normal,Heerup,,300.0,,
SP__LY__2021__3.0__100.0__9.0,LY__2021,,,,,,3.0,100.0,9.0,,,,n,Normal,Kvium,,150.0,,
SP__LY__2021__3.0__99.0__9.0,LY__2021,,,,,,3.0,99.0,9.0,,,,n,Normal,Heerup,,450.0,,
SP__LY__2021__3.0__98.0__9.0,LY__2021,,,,,,3.0,98.0,9.0,,,,n,Normal,Rembrandt,,450.0,,
SP__LY__2021__3.0__97.0__9.0,LY__2021,,,,,,3.0,97.0,9.0,,,,n,Normal,Sheriff,,150.0,,
SP__LY__2021__3.0__96.0__8.0,LY__2021,,,,,,3.0,96.0,8.0,,,,n,Zero,Rembrandt,,150.0,,
SP__LY__2021__3.0__95.0__8.0,LY__2021,,,,,,3.0,95.0,8.0,,,,n,Zero,Kvium,,150.0,,
SP__LY__2021__3.0__101.0__9.0,LY__2021,,,,,,3.0,101.0,9.0,,,,n,Normal,Rembrandt,,300.0,,
SP__LY__2021__4.0__110.0__10.0,LY__2021,,,,,,4.0,110.0,10.0,,,,n,Zero,Heerup,,450.0,,
SP__LY__2021__4.0__111.0__10.0,LY__2021,,,,,,4.0,111.0,10.0,,,,n,Zero,Heerup,,300.0,,
SP__LY__2021__4.0__112.0__10.0,LY__2021,,,,,,4.0,112.0,10.0,,,,n,Zero,Rembrandt,,150.0,,
SP__LY__2021__4.0__128.0__11.0,LY__2021,,,,,,4.0,128.0,11.0,,,,n,Half,Kvium,,450.0,,
SP__LY__2021__4.0__127.0__11.0,LY__2021,,,,,,4.0,127.0,11.0,,,,n,Half,Kvium,,150.0,,
SP__LY__2021__4.0__126.0__11.0,LY__2021,,,,,,4.0,126.0,11.0,,,,n,Half,Heerup,,450.0,,
SP__LY__2021__4.0__125.0__11.0,LY__2021,,,,,,4.0,125.0,11.0,,,,n,Half,Rembrandt,,300.0,,
