run_library_assignment_id,sequencing_run_id,library_preparation_id
RLA__seq230710_GW4I8__LP__DX__alex-control__7D__1__7D__139.0__ITS,seq230710_GW4I8,LP__DX__alex-control__7D__1__7D__139.0__ITS
RLA__seq230710_GW4I8__LP__DX__alex-control__7C__1__7C__127.0__ITS,seq230710_GW4I8,LP__DX__alex-control__7C__1__7C__127.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-50__1.0__7B__2021-01-09__1__7B__115.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-50__1.0__7B__2021-01-09__1__7B__115.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-49__1.0__7A__2021-01-09__1__7A__103.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-49__1.0__7A__2021-01-09__1__7A__103.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-48__1.0__6H__2021-01-09__1__6H__186.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-48__1.0__6H__2021-01-09__1__6H__186.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-47__1.0__6G__2021-01-09__1__6G__174.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-47__1.0__6G__2021-01-09__1__6G__174.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-46__1.0__6F__2021-01-09__1__6F__162.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-46__1.0__6F__2021-01-09__1__6F__162.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-45__1.0__6E__2021-01-09__1__6E__150.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-45__1.0__6E__2021-01-09__1__6E__150.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-44__1.0__6D__2021-01-09__1__6D__138.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-44__1.0__6D__2021-01-09__1__6D__138.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-43__1.0__6C__2021-01-09__1__6C__126.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-43__1.0__6C__2021-01-09__1__6C__126.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-42__1.0__6B__2021-01-09__1__6B__114.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-42__1.0__6B__2021-01-09__1__6B__114.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-1__1.0__1A__2021-01-09__1__1A__97.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-1__1.0__1A__2021-01-09__1__1A__97.0__ITS
