sampling_plot_id,location_year_id,scheme_2020,plot,grid_point_2020,distance_2020,edge_2020,block_2022,plot_label,subplot,x,y,letter,spray_fungicide,fertiliser,fertilizer,cultivar,density,spray
SP__LY__H__2022__003,LY__H__2022,,3,,,,,,,,,A7,,,,Heerup,,n
SP__LY__H__2022__004,LY__H__2022,,4,,,,,,,,,B5,,,,Kvium,,y
SP__LY__H__2022__005,LY__H__2022,,5,,,,,,,,,B16,,,,Rembrandt,,y
SP__LY__H__2022__006,LY__H__2022,,6,,,,,,,,,B7,,,,Heerup,,y
SP__LY__H__2022__007,LY__H__2022,,7,,,,3.0,,,,,,n,n,,Rembrandt,unknown,
SP__LY__H__2022__007,LY__H__2022,,7,,,,3.0,,,,,,n,n,,Rembrandt,,
SP__LY__H__2022__007,LY__H__2022,,7,,,,,,,,,A16,,,,Rembrandt,,n
SP__LY__H__2022__008,LY__H__2022,,8,,,,3.0,,,,,,n,n,,Kvium,unknown,
SP__LY__H__2022__008,LY__H__2022,,8,,,,3.0,,,,,,n,n,,Kvium,,
SP__LY__H__2022__008,LY__H__2022,,8,,,,,,,,,A5,,,,Kvium,,n
SP__LY__H__2022__009,LY__H__2022,,9,,,,3.0,,,,,,y,n,,Heerup,unknown,
SP__LY__H__2022__009,LY__H__2022,,9,,,,3.0,,,,,,y,n,,Heerup,,
SP__LY__H__2022__009,LY__H__2022,,9,,,,,,,,,A7,,,,Heerup,,n
SP__LY__H__2022__010,LY__H__2022,,10,,,,,,,,,B7,,,,Heerup,,y
SP__LY__H__2022__011,LY__H__2022,,11,,,,,,,,,B16,,,,Rembrandt,,y
SP__LY__H__2022__012,LY__H__2022,,12,,,,,,,,,B5,,,,Kvium,,y
SP__LY__H__2022__013,LY__H__2022,,13,,,,5.0,,,,,,n,n,,Kvium,unknown,
SP__LY__H__2022__013,LY__H__2022,,13,,,,5.0,,,,,,n,n,,Kvium,,
SP__LY__H__2022__013,LY__H__2022,,13,,,,,,,,,A5,,,,Kvium,,n
SP__LY__H__2022__014,LY__H__2022,,14,,,,5.0,,,,,,n,n,,Rembrandt,unknown,
SP__LY__H__2022__014,LY__H__2022,,14,,,,5.0,,,,,,n,n,,Rembrandt,,
SP__LY__H__2022__014,LY__H__2022,,14,,,,,,,,,A16,,,,Rembrandt,,n
SP__LY__H__2022__015,LY__H__2022,,15,,,,5.0,,,,,,y,n,,Heerup,unknown,
SP__LY__H__2022__015,LY__H__2022,,15,,,,5.0,,,,,,y,n,,Heerup,,
SP__LY__H__2022__015,LY__H__2022,,15,,,,,,,,,A7,,,,Heerup,,n
SP__LY__H__2022__016,LY__H__2022,,16,,,,,,,,,B7,,,,Heerup,,y
SP__LY__H__2022__017,LY__H__2022,,17,,,,,,,,,B5,,,,Kvium,,y
SP__LY__H__2022__018,LY__H__2022,,18,,,,,,,,,B16,,,,Rembrandt,,y
SP__LY__H__2022__019,LY__H__2022,,19,,,,7.0,,,,,,n,n,,Rembrandt,unknown,
SP__LY__H__2022__019,LY__H__2022,,19,,,,7.0,,,,,,n,n,,Rembrandt,,
SP__LY__H__2022__019,LY__H__2022,,19,,,,,,,,,A16,,,,Rembrandt,,n
SP__LY__H__2022__020,LY__H__2022,,20,,,,7.0,,,,,,n,n,,Kvium,unknown,
SP__LY__H__2022__020,LY__H__2022,,20,,,,7.0,,,,,,n,n,,Kvium,,
SP__LY__H__2022__020,LY__H__2022,,20,,,,,,,,,A5,,,,Kvium,,n
SP__LY__H__2022__021,LY__H__2022,,21,,,,7.0,,,,,,y,n,,Heerup,unknown,
SP__LY__H__2022__021,LY__H__2022,,21,,,,7.0,,,,,,y,n,,Heerup,,
SP__LY__H__2022__021,LY__H__2022,,21,,,,,,,,,A7,,,,Heerup,,n
SP__LY__H__2022__022,LY__H__2022,,22,,,,,,,,,B16,,,,Rembrandt,,y
SP__LY__H__2022__023,LY__H__2022,,23,,,,,,,,,B7,,,,Heerup,,y
SP__LY__H__2022__024,LY__H__2022,,24,,,,,,,,,B5,,,,Kvium,,y
SP__LY__H__2022__UNKNOWN,LY__H__2022,,,,,,,,,,,,,,,,,
SP__LY__L__2022__001,LY__L__2022,,1,,,,,,,,,A7,,,,Heerup,,y
SP__LY__L__2022__002,LY__L__2022,,2,,,,,,,,,A5,,,,Kvium,,y
SP__LY__L__2022__003,LY__L__2022,,3,,,,,,,,,A16,,,,Rembrandt,,y
SP__LY__L__2022__004,LY__L__2022,,4,,,,,,,,,B5,,,,Kvium,,n
SP__LY__L__2022__005,LY__L__2022,,5,,,,,,,,,B16,,,,Rembrandt,,n
SP__LY__L__2022__006,LY__L__2022,,6,,,,,,,,,B7,,,,Heerup,,n
SP__LY__L__2022__007,LY__L__2022,,7,,,,,,,,,B7,,,,Heerup,,n
SP__LY__L__2022__008,LY__L__2022,,8,,,,,,,,,B5,,,,Kvium,,n
SP__LY__L__2022__009,LY__L__2022,,9,,,,,,,,,B16,,,,Rembrandt,,n
SP__LY__L__2022__010,LY__L__2022,,10,,,,,,,,,A7,,,,Heerup,,y
SP__LY__L__2022__011,LY__L__2022,,11,,,,,,,,,A16,,,,Rembrandt,,y
SP__LY__L__2022__012,LY__L__2022,,12,,,,,,,,,A5,,,,Kvium,,y
SP__LY__L__2022__013,LY__L__2022,,13,,,,,,,,,A7,,,,Heerup,,y
SP__LY__L__2022__014,LY__L__2022,,14,,,,,,,,,A5,,,,Kvium,,y
SP__LY__L__2022__015,LY__L__2022,,15,,,,,,,,,A16,,,,Rembrandt,,y
SP__LY__L__2022__016,LY__L__2022,,16,,,,,,,,,B7,,,,Heerup,,n
SP__LY__L__2022__017,LY__L__2022,,17,,,,,,,,,B16,,,,Rembrandt,,n
SP__LY__L__2022__018,LY__L__2022,,18,,,,,,,,,B5,,,,Kvium,,n
SP__LY__L__2022__019,LY__L__2022,,19,,,,,,,,,B16,,,,Rembrandt,,n
SP__LY__L__2022__020,LY__L__2022,,20,,,,,,,,,B5,,,,Kvium,,n
SP__LY__L__2022__021,LY__L__2022,,21,,,,,,,,,B7,,,,Heerup,,n
SP__LY__L__2022__022,LY__L__2022,,22,,,,,,,,,A16,,,,Rembrandt,,y
SP__LY__L__2022__023,LY__L__2022,,23,,,,,,,,,A5,,,,Kvium,,y
SP__LY__L__2022__024,LY__L__2022,,24,,,,,,,,,A7,,,,Heerup,,y
SP__LY__L__2022__UNKNOWN,LY__L__2022,,,,,,,,,,,,,,,,,
SP__LY__R__2022__001,LY__R__2022,,1,,,,1.0,,,,,,n,n,,Rembrandt,unknown,
SP__LY__R__2022__001,LY__R__2022,,1,,,,1.0,,,,,,n,n,,Rembrandt,,
SP__LY__R__2022__001,LY__R__2022,,1,,,,,,,,,,,,,Rembrandt,,yes
SP__LY__R__2022__001,LY__R__2022,,1,,,,,,,,,A16,,,,Rembrandt,,n
SP__LY__R__2022__001,LY__R__2022,,1,,,,,,,,,A16,,,,Rembrandt,,y
SP__LY__R__2022__001,LY__R__2022,,1,,,,,,,,,,,,,Rembrandt,,y
SP__LY__R__2022__002,LY__R__2022,,2,,,,1.0,,,,,,n,n,,Heerup,,
SP__LY__R__2022__002,LY__R__2022,,2,,,,1.0,,,,,,n,n,,Heerup,unknown,
SP__LY__R__2022__002,LY__R__2022,,2,,,,,,,,,,,,,Heerup,,yes
SP__LY__R__2022__002,LY__R__2022,,2,,,,,,,,,A7,,,,Heerup,,n
SP__LY__R__2022__002,LY__R__2022,,2,,,,,,,,,A7,,,,Heerup,,y
SP__LY__R__2022__002,LY__R__2022,,2,,,,,,,,,,,,,Heerup,,y
SP__LY__R__2022__003,LY__R__2022,,3,,,,3.0,,,,,,y,n,,Kvium,unknown,
