sampling_plot_id,location_year_id,scheme_2020,plot,grid_point_2020,distance_2020,edge_2020,block_2022,plot_label,subplot,x,y,letter,spray_fungicide,fertiliser,fertilizer,cultivar,density,spray
SP__LY__S__2022__005,LY__S__2022,,5,,,,,,,,,B5,,,,Kvium,,y
SP__LY__S__2022__005,LY__S__2022,,5,,,,,,,,,B16,,,,Rembrandt,,y
SP__LY__S__2022__006,LY__S__2022,,6,,,,,,,,,B7,,,,Heerup,,y
SP__LY__S__2022__006,LY__S__2022,,6,,,,,,,,,B7 ,,,,Heerup,,n
SP__LY__S__2022__006,LY__S__2022,,6,,,,,,,,,A5,,,,Kvium,,n
SP__LY__S__2022__007,LY__S__2022,,7,,,,,,,,,B7,,,,Heerup,,y
SP__LY__S__2022__007,LY__S__2022,,7,,,,,,,,,B7 ,,,,Heerup,,n
SP__LY__S__2022__008,LY__S__2022,,8,,,,,,,,,B5,,,,Kvium,,y
SP__LY__S__2022__008,LY__S__2022,,8,,,,,,,,,B5,,,,Kvium,,n
SP__LY__S__2022__009,LY__S__2022,,9,,,,,,,,,B16,,,,Rembrandt,,y
SP__LY__S__2022__009,LY__S__2022,,9,,,,,,,,,B16,,,,Rembrandt,,n
SP__LY__S__2022__010,LY__S__2022,,10,,,,,,,,,A16,,,,Rembrandt,,n
SP__LY__S__2022__010,LY__S__2022,,10,,,,,,,,,A16,,,,Rembrandt,,y
SP__LY__S__2022__010,LY__S__2022,,10,,,,,,,,,A7,,,,Heerup,,n
SP__LY__S__2022__011,LY__S__2022,,11,,,,,,,,,A7,,,,Heerup,,n
SP__LY__S__2022__011,LY__S__2022,,11,,,,,,,,,A7,,,,Heerup,,y
SP__LY__S__2022__011,LY__S__2022,,11,,,,,,,,,A16,,,,Rembrandt,,n
SP__LY__S__2022__012,LY__S__2022,,12,,,,,,,,,A5,,,,Kvium,,n
SP__LY__S__2022__012,LY__S__2022,,12,,,,,,,,,A5,,,,Kvium,,y
SP__LY__S__2022__013,LY__S__2022,,13,,,,,,,,,A5,,,,Kvium,,n
SP__LY__S__2022__013,LY__S__2022,,13,,,,,,,,,A16,,,,Rembrandt,,n
SP__LY__S__2022__014,LY__S__2022,,14,,,,,,,,,A7,,,,Heerup,,n
SP__LY__S__2022__014,LY__S__2022,,14,,,,,,,,,A5,,,,Kvium,,n
SP__LY__S__2022__015,LY__S__2022,,15,,,,,,,,,A16,,,,Rembrandt,,n
SP__LY__S__2022__015,LY__S__2022,,15,,,,,,,,,A7,,,,Heerup,,n
SP__LY__S__2022__016,LY__S__2022,,16,,,,,,,,,B5,,,,Kvium,,y
SP__LY__S__2022__016,LY__S__2022,,16,,,,,,,,,B16,,,,Rembrandt,,y
SP__LY__S__2022__017,LY__S__2022,,17,,,,,,,,,B16,,,,Rembrandt,,y
SP__LY__S__2022__017,LY__S__2022,,17,,,,,,,,,B7,,,,Heerup,,y
SP__LY__S__2022__018,LY__S__2022,,18,,,,,,,,,B7,,,,Heerup,,y
SP__LY__S__2022__018,LY__S__2022,,18,,,,,,,,,B5,,,,Kvium,,y
SP__LY__S__2022__019,LY__S__2022,,19,,,,,,,,,B16,,,,Rembrandt,,y
SP__LY__S__2022__019,LY__S__2022,,19,,,,,,,,,B16,,,,Rembrandt,,n
SP__LY__S__2022__019,LY__S__2022,,19,,,,,,,,,A7,,,,Heerup,,n
SP__LY__S__2022__020,LY__S__2022,,20,,,,,,,,,B5,,,,Kvium,,y
SP__LY__S__2022__020,LY__S__2022,,20,,,,,,,,,A16,,,,Rembrandt,,n
SP__LY__S__2022__021,LY__S__2022,,21,,,,,,,,,B7,,,,Heerup,,y
SP__LY__S__2022__021,LY__S__2022,,21,,,,,,,,,B5,,,,Kvium,,y
SP__LY__S__2022__022,LY__S__2022,,22,,,,,,,,,A7,,,,Heerup,,y
SP__LY__S__2022__022,LY__S__2022,,22,,,,,,,,,A7,,,,Heerup,,n
SP__LY__S__2022__022,LY__S__2022,,22,,,,,,,,,B7,,,,Heerup,,y
SP__LY__S__2022__023,LY__S__2022,,23,,,,,,,,,A16,,,,Rembrandt,,n
SP__LY__S__2022__023,LY__S__2022,,23,,,,,,,,,B16,,,,Rembrandt,,y
SP__LY__S__2022__024,LY__S__2022,,24,,,,,,,,,A5,,,,Kvium,,n
SP__LY__S__2022__UNKNOWN,LY__S__2022,,,,,,,,,,,,,,,,,
SP__LY__T__2020__001,LY__T__2020,large,1,ext,diagonal,right,,,,,,,,,,Elixir,,
SP__LY__T__2020__002,LY__T__2020,large,2,ext,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__003,LY__T__2020,large,3,ext,cross,Center,,,,,,,,,,Elixir,,
SP__LY__T__2020__004,LY__T__2020,large,4,ext,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__005,LY__T__2020,large,5,ext,diagonal,left,,,,,,,,,,Elixir,,
SP__LY__T__2020__006,LY__T__2020,large,6,ext,other,left,,,,,,,,,,Elixir,,
SP__LY__T__2020__007,LY__T__2020,large,7,middle,diagonal,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__008,LY__T__2020,medium,8,middle,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__009,LY__T__2020,medium,9,middle,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__010,LY__T__2020,medium,10,middle,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__011,LY__T__2020,large,11,middle,cross,Center,,,,,,,,,,Elixir,,
SP__LY__T__2020__012,LY__T__2020,large,12,middle,diagonal,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__013,LY__T__2020,large,13,ext,other,right,,,,,,,,,,Elixir,,
SP__LY__T__2020__014,LY__T__2020,large,14,ext,cross,right,,,,,,,,,,Elixir,,
SP__LY__T__2020__015,LY__T__2020,large,15,middle,cross,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__016,LY__T__2020,medium,16,middle,diagonal,Center,,,,,,,,,,Elixir,,
SP__LY__T__2020__018,LY__T__2020,small,18,middle,cross,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__020,LY__T__2020,small,20,middle,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__021,LY__T__2020,medium,21,middle,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__022,LY__T__2020,medium,22,middle,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__023,LY__T__2020,large,23,middle,cross,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__024,LY__T__2020,medium,24,middle,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__025,LY__T__2020,medium,25,middle,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__026,LY__T__2020,medium,26,middle,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__027,LY__T__2020,medium,27,middle,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__028,LY__T__2020,medium,28,middle,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__029,LY__T__2020,medium,29,middle,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__030,LY__T__2020,medium,30,middle,other,Center,,,,,,,,,,Elixir,,
SP__LY__T__2020__031,LY__T__2020,medium,31,middle,other,Center,,,,,,,,,,Elixir,,
SP__LY__T__2020__032,LY__T__2020,medium,32,middle,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__033,LY__T__2020,medium,33,middle,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__034,LY__T__2020,medium,34,middle,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__036,LY__T__2020,medium,36,middle,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__037,LY__T__2020,small,37,middle,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__039,LY__T__2020,small,39,middle,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__041,LY__T__2020,small,41,middle,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__047,LY__T__2020,small,47,middle,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__049,LY__T__2020,small,49,middle,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__051,LY__T__2020,small,51,middle,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__057,LY__T__2020,large,57,ext,cross,left,,,,,,,,,,Elixir,,
SP__LY__T__2020__058,LY__T__2020,large,58,ext,other,left,,,,,,,,,,Elixir,,
SP__LY__T__2020__059,LY__T__2020,large,59,middle,diagonal,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__060,LY__T__2020,large,60,middle,cross,Center,,,,,,,,,,Elixir,,
SP__LY__T__2020__061,LY__T__2020,large,61,middle,diagonal,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__062,LY__T__2020,large,62,ext,other,right,,,,,,,,,,Elixir,,
SP__LY__T__2020__063,LY__T__2020,large,63,ext,diagonal,right,,,,,,,,,,Elixir,,
SP__LY__T__2020__064,LY__T__2020,large,64,ext,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__065,LY__T__2020,large,65,ext,cross,Center,,,,,,,,,,Elixir,,
SP__LY__T__2020__066,LY__T__2020,large,66,ext,other,other,,,,,,,,,,Elixir,,
SP__LY__T__2020__067,LY__T__2020,large,67,ext,diagonal,left,,,,,,,,,,Elixir,,
SP__LY__T__2020__UNKNOWN,LY__T__2020,,,,,,,,,,,,,,,,,
SP__LY__T__2021__001,LY__T__2021,,1,,,,1.0,,1.0,,,,n,Half,,Heerup,450.0,
SP__LY__T__2021__002,LY__T__2021,,2,,,,1.0,,1.0,,,,n,Half,,Heerup,300.0,
SP__LY__T__2021__003,LY__T__2021,,3,,,,1.0,,1.0,,,,n,Half,,Kvium,450.0,
SP__LY__T__2021__004,LY__T__2021,,4,,,,1.0,,1.0,,,,n,Half,,Sheriff,300.0,
SP__LY__T__2021__005,LY__T__2021,,5,,,,1.0,,1.0,,,,n,Half,,Rembrandt,150.0,
SP__LY__T__2021__006,LY__T__2021,,6,,,,1.0,,1.0,,,,n,Half,,Rembrandt,450.0,
SP__LY__T__2021__007,LY__T__2021,,7,,,,1.0,,1.0,,,,n,Half,,Heerup,150.0,
SP__LY__T__2021__008,LY__T__2021,,8,,,,1.0,,1.0,,,,n,Half,,Sheriff,450.0,
SP__LY__T__2021__009,LY__T__2021,,9,,,,1.0,,1.0,,,,n,Half,,Kvium,300.0,
SP__LY__T__2021__010,LY__T__2021,,10,,,,1.0,,1.0,,,,n,Half,,Sheriff,150.0,
SP__LY__T__2021__011,LY__T__2021,,11,,,,1.0,,1.0,,,,n,Half,,Rembrandt,300.0,
SP__LY__T__2021__012,LY__T__2021,,12,,,,1.0,,1.0,,,,n,Half,,Kvium,150.0,
SP__LY__T__2021__013,LY__T__2021,,13,,,,1.0,,2.0,,,,n,Normal,,Kvium,150.0,
SP__LY__T__2021__014,LY__T__2021,,14,,,,1.0,,2.0,,,,n,Normal,,Sheriff,150.0,
SP__LY__T__2021__015,LY__T__2021,,15,,,,1.0,,2.0,,,,n,Normal,,Sheriff,450.0,
SP__LY__T__2021__016,LY__T__2021,,16,,,,1.0,,2.0,,,,n,Normal,,Heerup,450.0,
SP__LY__T__2021__017,LY__T__2021,,17,,,,1.0,,2.0,,,,n,Normal,,Rembrandt,300.0,
SP__LY__T__2021__018,LY__T__2021,,18,,,,1.0,,2.0,,,,n,Normal,,Heerup,300.0,
SP__LY__T__2021__019,LY__T__2021,,19,,,,1.0,,2.0,,,,n,Normal,,Kvium,300.0,
SP__LY__T__2021__020,LY__T__2021,,20,,,,1.0,,2.0,,,,n,Normal,,Sheriff,300.0,
SP__LY__T__2021__021,LY__T__2021,,21,,,,1.0,,2.0,,,,n,Normal,,Heerup,150.0,
SP__LY__T__2021__022,LY__T__2021,,22,,,,1.0,,2.0,,,,n,Normal,,Rembrandt,450.0,
SP__LY__T__2021__023,LY__T__2021,,23,,,,1.0,,2.0,,,,n,Normal,,Kvium,450.0,
SP__LY__T__2021__024,LY__T__2021,,24,,,,1.0,,2.0,,,,n,Normal,,Rembrandt,150.0,
SP__LY__T__2021__025,LY__T__2021,,25,,,,1.0,,3.0,,,,n,Zero,,Kvium,450.0,
SP__LY__T__2021__026,LY__T__2021,,26,,,,1.0,,3.0,,,,n,Zero,,Rembrandt,300.0,
SP__LY__T__2021__027,LY__T__2021,,27,,,,1.0,,3.0,,,,n,Zero,,Kvium,300.0,
SP__LY__T__2021__028,LY__T__2021,,28,,,,1.0,,3.0,,,,n,Zero,,Kvium,150.0,
SP__LY__T__2021__029,LY__T__2021,,29,,,,1.0,,3.0,,,,n,Zero,,Sheriff,450.0,
SP__LY__T__2021__030,LY__T__2021,,30,,,,1.0,,3.0,,,,n,Zero,,Heerup,150.0,
SP__LY__T__2021__031,LY__T__2021,,31,,,,1.0,,3.0,,,,n,Zero,,Sheriff,300.0,
SP__LY__T__2021__032,LY__T__2021,,32,,,,1.0,,3.0,,,,n,Zero,,Rembrandt,450.0,
SP__LY__T__2021__033,LY__T__2021,,33,,,,1.0,,3.0,,,,n,Zero,,Sheriff,150.0,
SP__LY__T__2021__034,LY__T__2021,,34,,,,1.0,,3.0,,,,n,Zero,,Rembrandt,150.0,
SP__LY__T__2021__035,LY__T__2021,,35,,,,1.0,,3.0,,,,n,Zero,,Heerup,450.0,
SP__LY__T__2021__036,LY__T__2021,,36,,,,1.0,,3.0,,,,n,Zero,,Heerup,300.0,
SP__LY__T__2021__037,LY__T__2021,,37,,,,2.0,,4.0,,,,n,Zero,,Sheriff,300.0,
SP__LY__T__2021__038,LY__T__2021,,38,,,,2.0,,4.0,,,,n,Zero,,Rembrandt,300.0,
SP__LY__T__2021__039,LY__T__2021,,39,,,,2.0,,4.0,,,,n,Zero,,Heerup,300.0,
SP__LY__T__2021__040,LY__T__2021,,40,,,,2.0,,4.0,,,,n,Zero,,Heerup,450.0,
SP__LY__T__2021__041,LY__T__2021,,41,,,,2.0,,4.0,,,,n,Zero,,Kvium,450.0,
SP__LY__T__2021__042,LY__T__2021,,42,,,,2.0,,4.0,,,,n,Zero,,Rembrandt,450.0,
SP__LY__T__2021__043,LY__T__2021,,43,,,,2.0,,4.0,,,,n,Zero,,Sheriff,450.0,
SP__LY__T__2021__044,LY__T__2021,,44,,,,2.0,,4.0,,,,n,Zero,,Kvium,300.0,
SP__LY__T__2021__045,LY__T__2021,,45,,,,2.0,,4.0,,,,n,Zero,,Rembrandt,150.0,
SP__LY__T__2021__046,LY__T__2021,,46,,,,2.0,,4.0,,,,n,Zero,,Heerup,150.0,
SP__LY__T__2021__047,LY__T__2021,,47,,,,2.0,,4.0,,,,n,Zero,,Kvium,150.0,
SP__LY__T__2021__048,LY__T__2021,,48,,,,2.0,,4.0,,,,n,Zero,,Sheriff,150.0,
SP__LY__T__2021__049,LY__T__2021,,49,,,,2.0,,5.0,,,,n,Normal,,Rembrandt,300.0,
SP__LY__T__2021__050,LY__T__2021,,50,,,,2.0,,5.0,,,,n,Normal,,Kvium,150.0,
SP__LY__T__2021__051,LY__T__2021,,51,,,,2.0,,5.0,,,,n,Normal,,Sheriff,300.0,
SP__LY__T__2021__052,LY__T__2021,,52,,,,2.0,,5.0,,,,n,Normal,,Rembrandt,450.0,
SP__LY__T__2021__053,LY__T__2021,,53,,,,2.0,,5.0,,,,n,Normal,,Heerup,450.0,
SP__LY__T__2021__054,LY__T__2021,,54,,,,2.0,,5.0,,,,n,Normal,,Heerup,300.0,
SP__LY__T__2021__055,LY__T__2021,,55,,,,2.0,,5.0,,,,n,Normal,,Rembrandt,150.0,
SP__LY__T__2021__056,LY__T__2021,,56,,,,2.0,,5.0,,,,n,Normal,,Heerup,150.0,
SP__LY__T__2021__057,LY__T__2021,,57,,,,2.0,,5.0,,,,n,Normal,,Sheriff,150.0,
SP__LY__T__2021__058,LY__T__2021,,58,,,,2.0,,5.0,,,,n,Normal,,Kvium,300.0,
SP__LY__T__2021__059,LY__T__2021,,59,,,,2.0,,5.0,,,,n,Normal,,Sheriff,450.0,
SP__LY__T__2021__060,LY__T__2021,,60,,,,2.0,,5.0,,,,n,Normal,,Kvium,450.0,
SP__LY__T__2021__061,LY__T__2021,,61,,,,2.0,,6.0,,,,n,Half,,Sheriff,450.0,
SP__LY__T__2021__062,LY__T__2021,,62,,,,2.0,,6.0,,,,n,Half,,Sheriff,300.0,
SP__LY__T__2021__063,LY__T__2021,,63,,,,2.0,,6.0,,,,n,Half,,Kvium,450.0,
SP__LY__T__2021__064,LY__T__2021,,64,,,,2.0,,6.0,,,,n,Half,,Heerup,450.0,
SP__LY__T__2021__065,LY__T__2021,,65,,,,2.0,,6.0,,,,n,Half,,Heerup,150.0,
SP__LY__T__2021__066,LY__T__2021,,66,,,,2.0,,6.0,,,,n,Half,,Rembrandt,150.0,
SP__LY__T__2021__067,LY__T__2021,,67,,,,2.0,,6.0,,,,n,Half,,Kvium,150.0,
SP__LY__T__2021__068,LY__T__2021,,68,,,,2.0,,6.0,,,,n,Half,,Rembrandt,450.0,
SP__LY__T__2021__069,LY__T__2021,,69,,,,2.0,,6.0,,,,n,Half,,Rembrandt,300.0,
SP__LY__T__2021__070,LY__T__2021,,70,,,,2.0,,6.0,,,,n,Half,,Heerup,300.0,
SP__LY__T__2021__071,LY__T__2021,,71,,,,2.0,,6.0,,,,n,Half,,Sheriff,150.0,
SP__LY__T__2021__072,LY__T__2021,,72,,,,2.0,,6.0,,,,n,Half,,Kvium,300.0,
SP__LY__T__2021__073,LY__T__2021,,73,,,,3.0,,7.0,,,,n,Half,,Rembrandt,300.0,
SP__LY__T__2021__074,LY__T__2021,,74,,,,3.0,,7.0,,,,n,Half,,Rembrandt,450.0,
SP__LY__T__2021__075,LY__T__2021,,75,,,,3.0,,7.0,,,,n,Half,,Heerup,150.0,
SP__LY__T__2021__076,LY__T__2021,,76,,,,3.0,,7.0,,,,n,Half,,Rembrandt,150.0,
SP__LY__T__2021__077,LY__T__2021,,77,,,,3.0,,7.0,,,,n,Half,,Sheriff,150.0,
SP__LY__T__2021__078,LY__T__2021,,78,,,,3.0,,7.0,,,,n,Half,,Heerup,450.0,
SP__LY__T__2021__079,LY__T__2021,,79,,,,3.0,,7.0,,,,n,Half,,Kvium,150.0,
SP__LY__T__2021__080,LY__T__2021,,80,,,,3.0,,7.0,,,,n,Half,,Kvium,450.0,
SP__LY__T__2021__081,LY__T__2021,,81,,,,3.0,,7.0,,,,n,Half,,Heerup,300.0,
SP__LY__T__2021__082,LY__T__2021,,82,,,,3.0,,7.0,,,,n,Half,,Sheriff,300.0,
SP__LY__T__2021__083,LY__T__2021,,83,,,,3.0,,7.0,,,,n,Half,,Kvium,300.0,
SP__LY__T__2021__084,LY__T__2021,,84,,,,3.0,,7.0,,,,n,Half,,Sheriff,450.0,
SP__LY__T__2021__085,LY__T__2021,,85,,,,3.0,,8.0,,,,n,Zero,,Heerup,150.0,
SP__LY__T__2021__086,LY__T__2021,,86,,,,3.0,,8.0,,,,n,Zero,,Heerup,300.0,
SP__LY__T__2021__087,LY__T__2021,,87,,,,3.0,,8.0,,,,n,Zero,,Kvium,300.0,
SP__LY__T__2021__088,LY__T__2021,,88,,,,3.0,,8.0,,,,n,Zero,,Sheriff,300.0,
SP__LY__T__2021__089,LY__T__2021,,89,,,,3.0,,8.0,,,,n,Zero,,Rembrandt,450.0,
SP__LY__T__2021__090,LY__T__2021,,90,,,,3.0,,8.0,,,,n,Zero,,Sheriff,150.0,
SP__LY__T__2021__091,LY__T__2021,,91,,,,3.0,,8.0,,,,n,Zero,,Heerup,450.0,
SP__LY__T__2021__092,LY__T__2021,,92,,,,3.0,,8.0,,,,n,Zero,,Sheriff,450.0,
SP__LY__T__2021__093,LY__T__2021,,93,,,,3.0,,8.0,,,,n,Zero,,Rembrandt,300.0,
SP__LY__T__2021__094,LY__T__2021,,94,,,,3.0,,8.0,,,,n,Zero,,Kvium,450.0,
SP__LY__T__2021__095,LY__T__2021,,95,,,,3.0,,8.0,,,,n,Zero,,Kvium,150.0,
SP__LY__T__2021__096,LY__T__2021,,96,,,,3.0,,8.0,,,,n,Zero,,Rembrandt,150.0,
SP__LY__T__2021__097,LY__T__2021,,97,,,,3.0,,9.0,,,,n,Normal,,Sheriff,150.0,
SP__LY__T__2021__098,LY__T__2021,,98,,,,3.0,,9.0,,,,n,Normal,,Rembrandt,450.0,
SP__LY__T__2021__099,LY__T__2021,,99,,,,3.0,,9.0,,,,n,Normal,,Heerup,450.0,
SP__LY__T__2021__100,LY__T__2021,,100,,,,3.0,,9.0,,,,n,Normal,,Kvium,150.0,
SP__LY__T__2021__101,LY__T__2021,,101,,,,3.0,,9.0,,,,n,Normal,,Rembrandt,300.0,
SP__LY__T__2021__102,LY__T__2021,,102,,,,3.0,,9.0,,,,n,Normal,,Heerup,300.0,
SP__LY__T__2021__103,LY__T__2021,,103,,,,3.0,,9.0,,,,n,Normal,,Rembrandt,150.0,
SP__LY__T__2021__104,LY__T__2021,,104,,,,3.0,,9.0,,,,n,Normal,,Sheriff,450.0,
SP__LY__T__2021__105,LY__T__2021,,105,,,,3.0,,9.0,,,,n,Normal,,Kvium,450.0,
SP__LY__T__2021__106,LY__T__2021,,106,,,,3.0,,9.0,,,,n,Normal,,Sheriff,300.0,
SP__LY__T__2021__107,LY__T__2021,,107,,,,3.0,,9.0,,,,n,Normal,,Kvium,300.0,
SP__LY__T__2021__108,LY__T__2021,,108,,,,3.0,,9.0,,,,n,Normal,,Heerup,150.0,
SP__LY__T__2021__109,LY__T__2021,,109,,,,4.0,,10.0,,,,n,Zero,,Sheriff,150.0,
SP__LY__T__2021__110,LY__T__2021,,110,,,,4.0,,10.0,,,,n,Zero,,Heerup,450.0,
SP__LY__T__2021__111,LY__T__2021,,111,,,,4.0,,10.0,,,,n,Zero,,Heerup,300.0,
SP__LY__T__2021__112,LY__T__2021,,112,,,,4.0,,10.0,,,,n,Zero,,Rembrandt,150.0,
SP__LY__T__2021__113,LY__T__2021,,113,,,,4.0,,10.0,,,,n,Zero,,Kvium,450.0,
SP__LY__T__2021__114,LY__T__2021,,114,,,,4.0,,10.0,,,,n,Zero,,Kvium,150.0,
SP__LY__T__2021__115,LY__T__2021,,115,,,,4.0,,10.0,,,,n,Zero,,Rembrandt,450.0,
SP__LY__T__2021__116,LY__T__2021,,116,,,,4.0,,10.0,,,,n,Zero,,Sheriff,450.0,
SP__LY__T__2021__117,LY__T__2021,,117,,,,4.0,,10.0,,,,n,Zero,,Kvium,300.0,
SP__LY__T__2021__118,LY__T__2021,,118,,,,4.0,,10.0,,,,n,Zero,,Rembrandt,300.0,
SP__LY__T__2021__119,LY__T__2021,,119,,,,4.0,,10.0,,,,n,Zero,,Heerup,150.0,
SP__LY__T__2021__120,LY__T__2021,,120,,,,4.0,,10.0,,,,n,Zero,,Sheriff,300.0,
SP__LY__T__2021__121,LY__T__2021,,121,,,,4.0,,11.0,,,,n,Half,,Kvium,300.0,
SP__LY__T__2021__122,LY__T__2021,,122,,,,4.0,,11.0,,,,n,Half,,Rembrandt,150.0,
SP__LY__T__2021__123,LY__T__2021,,123,,,,4.0,,11.0,,,,n,Half,,Sheriff,150.0,
SP__LY__T__2021__124,LY__T__2021,,124,,,,4.0,,11.0,,,,n,Half,,Rembrandt,450.0,
SP__LY__T__2021__125,LY__T__2021,,125,,,,4.0,,11.0,,,,n,Half,,Rembrandt,300.0,
SP__LY__T__2021__126,LY__T__2021,,126,,,,4.0,,11.0,,,,n,Half,,Heerup,450.0,
SP__LY__T__2021__127,LY__T__2021,,127,,,,4.0,,11.0,,,,n,Half,,Kvium,150.0,
SP__LY__T__2021__128,LY__T__2021,,128,,,,4.0,,11.0,,,,n,Half,,Kvium,450.0,
SP__LY__T__2021__129,LY__T__2021,,129,,,,4.0,,11.0,,,,n,Half,,Heerup,300.0,
SP__LY__T__2021__130,LY__T__2021,,130,,,,4.0,,11.0,,,,n,Half,,Heerup,150.0,
SP__LY__T__2021__131,LY__T__2021,,131,,,,4.0,,11.0,,,,n,Half,,Sheriff,450.0,
SP__LY__T__2021__132,LY__T__2021,,132,,,,4.0,,11.0,,,,n,Half,,Sheriff,300.0,
SP__LY__T__2021__133,LY__T__2021,,133,,,,4.0,,12.0,,,,n,Normal,,Rembrandt,300.0,
SP__LY__T__2021__134,LY__T__2021,,134,,,,4.0,,12.0,,,,n,Normal,,Sheriff,450.0,
SP__LY__T__2021__135,LY__T__2021,,135,,,,4.0,,12.0,,,,n,Normal,,Heerup,450.0,
SP__LY__T__2021__136,LY__T__2021,,136,,,,4.0,,12.0,,,,n,Normal,,Kvium,150.0,
SP__LY__T__2021__137,LY__T__2021,,137,,,,4.0,,12.0,,,,n,Normal,,Heerup,150.0,
SP__LY__T__2021__138,LY__T__2021,,138,,,,4.0,,12.0,,,,n,Normal,,Heerup,300.0,
SP__LY__T__2021__139,LY__T__2021,,139,,,,4.0,,12.0,,,,n,Normal,,Kvium,300.0,
SP__LY__T__2021__140,LY__T__2021,,140,,,,4.0,,12.0,,,,n,Normal,,Sheriff,300.0,
SP__LY__T__2021__141,LY__T__2021,,141,,,,4.0,,12.0,,,,n,Normal,,Rembrandt,450.0,
SP__LY__T__2021__142,LY__T__2021,,142,,,,4.0,,12.0,,,,n,Normal,,Rembrandt,150.0,
SP__LY__T__2021__143,LY__T__2021,,143,,,,4.0,,12.0,,,,n,Normal,,Sheriff,150.0,
SP__LY__T__2021__144,LY__T__2021,,144,,,,4.0,,12.0,,,,n,Normal,,Kvium,450.0,
SP__LY__T__2021__UNKNOWN,LY__T__2021,,,,,,,,,,,,,,,,,
SP__LY__T__2023__001,LY__T__2023,,1,,,,1.0,,1.0,,,,n,Normal,,Heerup,150.0,
SP__LY__T__2023__002,LY__T__2023,,2,,,,1.0,,2.0,,,,n,Normal,,Heerup,450.0,
SP__LY__T__2023__003,LY__T__2023,,3,,,,1.0,,1.0,,,,n,Normal,,Heerup,300.0,
SP__LY__T__2023__003,LY__T__2023,,3,,,,1.0,,3.0,,,,n,Normal,,Heerup,300.0,
SP__LY__T__2023__003,LY__T__2023,,3,,,,1.0,,1.0,6.0,3.0,,,Normal,Normal,Heerup,300.0,
SP__LY__T__2023__004,LY__T__2023,,4,,,,1.0,,4.0,,,,n,Normal,,Sheriff,150.0,
SP__LY__T__2023__005,LY__T__2023,,5,,,,1.0,,1.0,,,,n,Normal,,Sheriff,300.0,
SP__LY__T__2023__005,LY__T__2023,,5,,,,1.0,,5.0,,,,n,Normal,,Sheriff,300.0,
SP__LY__T__2023__005,LY__T__2023,,5,,,,1.0,,1.0,6.0,5.0,,,Normal,Normal,Sheriff,300.0,
SP__LY__T__2023__006,LY__T__2023,,6,,,,1.0,,6.0,,,,n,Normal,,Kvium,150.0,
SP__LY__T__2023__007,LY__T__2023,,7,,,,1.0,,7.0,,,,n,Normal,,Kvium,450.0,
SP__LY__T__2023__008,LY__T__2023,,8,,,,1.0,,8.0,,,,n,Normal,,Rembrandt,150.0,
SP__LY__T__2023__009,LY__T__2023,,9,,,,1.0,,1.0,,,,n,Normal,,Kvium,300.0,
SP__LY__T__2023__009,LY__T__2023,,9,,,,1.0,,9.0,,,,n,Normal,,Kvium,300.0,
SP__LY__T__2023__009,LY__T__2023,,9,,,,1.0,,1.0,6.0,9.0,,,Normal,Normal,Kvium,300.0,
SP__LY__T__2023__010,LY__T__2023,,10,,,,1.0,,1.0,,,,n,Normal,,Rembrandt,300.0,
SP__LY__T__2023__010,LY__T__2023,,10,,,,1.0,,10.0,,,,n,Normal,,Rembrandt,300.0,
SP__LY__T__2023__010,LY__T__2023,,10,,,,1.0,,1.0,6.0,10.0,,,Normal,Normal,Rembrandt,300.0,
SP__LY__T__2023__011,LY__T__2023,,11,,,,1.0,,11.0,,,,n,Normal,,Rembrandt,450.0,
