LY_SP,LY,SP,SP_sample_number,SP_cultivar,SP_plot,SP_subplot,SP_block,SP_spray_fungicide,SP_density,SP_location,SP_fertilizer,SP_spray,SP_lane,SP_parcel,SP_id_on_field_2022,SP_fertiliser,SP_distance_LY_T_2020,SP_grid_point_LY_T_2020,SP_grid_number_LY_T_2020,SP_scheme_LY_T_2020,SP_sampling_1_LY_T_2020,SP_edge_LY_T_2020,SP_sampling_0_LY_T_2020
LY_T_2021__SP_143,LY_T_2021,SP_143,143,Sheriff,143.0,12.0,4.0,False,150.0,,NORMAL,,,,,,,,,,,,
LY_T_2021__SP_144,LY_T_2021,SP_144,144,Kvium,144.0,12.0,4.0,False,450.0,,NORMAL,,,,,,,,,,,,
LY_A_2022__SP_001,LY_A_2022,SP_001,1,Rembrandt,1.0,,,,,A,,False,1.0,27.0,A16,,,,,,,,
LY_A_2022__SP_002,LY_A_2022,SP_002,2,Heerup,2.0,,,,,A,,False,1.0,44.0,A7,,,,,,,,
LY_A_2022__SP_003,LY_A_2022,SP_003,3,Kvium,3.0,,,,,A,,False,1.0,49.0,A5,,,,,,,,
LY_A_2022__SP_004,LY_A_2022,SP_004,4,Rembrandt,4.0,,,,,A,,True,1.0,59.0,B16,,,,,,,,
LY_A_2022__SP_005,LY_A_2022,SP_005,5,Kvium,5.0,,,,,A,,True,1.0,89.0,B5,,,,,,,,
LY_A_2022__SP_006,LY_A_2022,SP_006,6,Heerup,6.0,,,,,A,,True,1.0,96.0,B7,,,,,,,,
LY_A_2022__SP_007,LY_A_2022,SP_007,7,Heerup,7.0,,,,,A,,True,2.0,14.0,B7,,,,,,,,
LY_A_2022__SP_008,LY_A_2022,SP_008,8,Rembrandt,8.0,,,,,A,,True,2.0,16.0,B16,,,,,,,,
LY_A_2022__SP_009,LY_A_2022,SP_009,9,Kvium,9.0,,,,,A,,False,2.0,25.0,B5,,,,,,,,
LY_A_2022__SP_010,LY_A_2022,SP_010,10,Rembrandt,10.0,,,,,A,,False,2.0,79.0,A16,,,,,,,,
LY_A_2022__SP_011,LY_A_2022,SP_011,11,Kvium,11.0,,,,,A,,False,2.0,98.0,A5,,,,,,,,
LY_A_2022__SP_012,LY_A_2022,SP_012,12,Heerup,12.0,,,,,A,,False,2.0,99.0,A7,,,,,,,,
LY_A_2022__SP_013,LY_A_2022,SP_013,13,Heerup,13.0,,,,,A,,False,3.0,18.0,A7,,,,,,,,
LY_A_2022__SP_014,LY_A_2022,SP_014,14,Rembrandt,14.0,,,,,A,,False,3.0,39.0,A16,,,,,,,,
LY_A_2022__SP_015,LY_A_2022,SP_015,15,Kvium,15.0,,,,,A,,False,3.0,43.0,A5,,,,,,,,
LY_A_2022__SP_016,LY_A_2022,SP_016,16,Rembrandt,16.0,,,,,A,,True,3.0,63.0,B16,,,,,,,,
LY_A_2022__SP_017,LY_A_2022,SP_017,17,Kvium,17.0,,,,,A,,True,3.0,102.0,B5,,,,,,,,
LY_A_2022__SP_018,LY_A_2022,SP_018,18,Heerup,18.0,,,,,A,,True,3.0,105.0,B7,,,,,,,,
LY_A_2022__SP_019,LY_A_2022,SP_019,19,Rembrandt,19.0,,,,,A,,True,4.0,10.0,B16,,,,,,,,
LY_A_2022__SP_020,LY_A_2022,SP_020,20,Heerup,20.0,,,,,A,,True,4.0,24.0,B7,,,,,,,,
LY_A_2022__SP_021,LY_A_2022,SP_021,21,Kvium,21.0,,,,,A,,True,4.0,46.0,B5,,,,,,,,
LY_A_2022__SP_022,LY_A_2022,SP_022,22,Kvium,22.0,,,,,A,,False,4.0,72.0,A5,,,,,,,,
LY_A_2022__SP_023,LY_A_2022,SP_023,23,Rembrandt,23.0,,,,,A,,False,4.0,77.0,A16,,,,,,,,
LY_A_2022__SP_024,LY_A_2022,SP_024,24,Heerup,24.0,,,,,A,,False,4.0,99.0,A7,,,,,,,,
LY_H_2022__SP_001,LY_H_2022,SP_001,1,Kvium,1.0,,,,,H,,False,1.0,14.0,A5,,,,,,,,
LY_H_2022__SP_002,LY_H_2022,SP_002,2,Rembrandt,2.0,,,,,H,,False,1.0,16.0,A16,,,,,,,,
LY_H_2022__SP_003,LY_H_2022,SP_003,3,Heerup,3.0,,,,,H,,False,1.0,59.0,A7,,,,,,,,
LY_H_2022__SP_004,LY_H_2022,SP_004,4,Kvium,4.0,,,,,H,,True,2.0,28.0,B5,,,,,,,,
LY_H_2022__SP_005,LY_H_2022,SP_005,5,Rembrandt,5.0,,,,,H,,True,2.0,44.0,B16,,,,,,,,
LY_H_2022__SP_006,LY_H_2022,SP_006,6,Heerup,6.0,,,,,H,,True,2.0,49.0,B7,,,,,,,,
LY_H_2022__SP_007,LY_H_2022,SP_007,7,Rembrandt,7.0,,,,,H,,False,3.0,10.0,A16,,,,,,,,
LY_H_2022__SP_008,LY_H_2022,SP_008,8,Kvium,8.0,,,,,H,,False,3.0,19.0,A5,,,,,,,,
LY_H_2022__SP_009,LY_H_2022,SP_009,9,Heerup,9.0,,,,,H,,False,3.0,54.0,A7,,,,,,,,
LY_H_2022__SP_010,LY_H_2022,SP_010,10,Heerup,10.0,,,,,H,,True,4.0,16.0,B7,,,,,,,,
LY_H_2022__SP_011,LY_H_2022,SP_011,11,Rembrandt,11.0,,,,,H,,True,4.0,18.0,B16,,,,,,,,
LY_H_2022__SP_012,LY_H_2022,SP_012,12,Kvium,12.0,,,,,H,,True,4.0,51.0,B5,,,,,,,,
LY_H_2022__SP_013,LY_H_2022,SP_013,13,Kvium,13.0,,,,,H,,False,5.0,31.0,A5,,,,,,,,
LY_H_2022__SP_014,LY_H_2022,SP_014,14,Rembrandt,14.0,,,,,H,,False,5.0,36.0,A16,,,,,,,,
LY_H_2022__SP_015,LY_H_2022,SP_015,15,Heerup,15.0,,,,,H,,False,5.0,40.0,A7,,,,,,,,
LY_H_2022__SP_016,LY_H_2022,SP_016,16,Heerup,16.0,,,,,H,,True,6.0,25.0,B7,,,,,,,,
LY_H_2022__SP_017,LY_H_2022,SP_017,17,Kvium,17.0,,,,,H,,True,6.0,26.0,B5,,,,,,,,
LY_H_2022__SP_018,LY_H_2022,SP_018,18,Rembrandt,18.0,,,,,H,,True,6.0,48.0,B16,,,,,,,,
LY_H_2022__SP_019,LY_H_2022,SP_019,19,Rembrandt,19.0,,,,,H,,False,7.0,14.0,A16,,,,,,,,
LY_H_2022__SP_020,LY_H_2022,SP_020,20,Kvium,20.0,,,,,H,,False,7.0,31.0,A5,,,,,,,,
LY_H_2022__SP_021,LY_H_2022,SP_021,21,Heerup,21.0,,,,,H,,False,7.0,50.0,A7,,,,,,,,
LY_H_2022__SP_022,LY_H_2022,SP_022,22,Rembrandt,22.0,,,,,H,,True,8.0,32.0,B16,,,,,,,,
LY_H_2022__SP_023,LY_H_2022,SP_023,23,Heerup,23.0,,,,,H,,True,8.0,36.0,B7,,,,,,,,
LY_H_2022__SP_024,LY_H_2022,SP_024,24,Kvium,24.0,,,,,H,,True,8.0,59.0,B5,,,,,,,,
LY_L_2022__SP_001,LY_L_2022,SP_001,1,Heerup,1.0,,,,,L,,True,1.0,12.0,A7,,,,,,,,
LY_L_2022__SP_002,LY_L_2022,SP_002,2,Kvium,2.0,,,,,L,,True,1.0,15.0,A5,,,,,,,,
LY_L_2022__SP_003,LY_L_2022,SP_003,3,Rembrandt,3.0,,,,,L,,True,1.0,20.0,A16,,,,,,,,
LY_L_2022__SP_004,LY_L_2022,SP_004,4,Kvium,4.0,,,,,L,,False,1.0,56.0,B5,,,,,,,,
LY_L_2022__SP_005,LY_L_2022,SP_005,5,Rembrandt,5.0,,,,,L,,False,1.0,79.0,B16,,,,,,,,
LY_L_2022__SP_006,LY_L_2022,SP_006,6,Heerup,6.0,,,,,L,,False,1.0,94.0,B7,,,,,,,,
LY_L_2022__SP_007,LY_L_2022,SP_007,7,Heerup,7.0,,,,,L,,False,2.0,19.0,B7,,,,,,,,
LY_L_2022__SP_008,LY_L_2022,SP_008,8,Kvium,8.0,,,,,L,,False,2.0,38.0,B5,,,,,,,,
LY_L_2022__SP_009,LY_L_2022,SP_009,9,Rembrandt,9.0,,,,,L,,False,2.0,52.0,B16,,,,,,,,
LY_L_2022__SP_010,LY_L_2022,SP_010,10,Heerup,10.0,,,,,L,,True,2.0,66.0,A7,,,,,,,,
LY_L_2022__SP_011,LY_L_2022,SP_011,11,Rembrandt,11.0,,,,,L,,True,2.0,83.0,A16,,,,,,,,
LY_L_2022__SP_012,LY_L_2022,SP_012,12,Kvium,12.0,,,,,L,,True,2.0,97.0,A5,,,,,,,,
LY_L_2022__SP_013,LY_L_2022,SP_013,13,Heerup,13.0,,,,,L,,True,3.0,8.0,A7,,,,,,,,
LY_L_2022__SP_014,LY_L_2022,SP_014,14,Kvium,14.0,,,,,L,,True,3.0,15.0,A5,,,,,,,,
LY_L_2022__SP_015,LY_L_2022,SP_015,15,Rembrandt,15.0,,,,,L,,True,3.0,41.0,A16,,,,,,,,
LY_L_2022__SP_016,LY_L_2022,SP_016,16,Heerup,16.0,,,,,L,,False,3.0,77.0,B7,,,,,,,,
LY_L_2022__SP_017,LY_L_2022,SP_017,17,Rembrandt,17.0,,,,,L,,False,3.0,78.0,B16,,,,,,,,
LY_L_2022__SP_018,LY_L_2022,SP_018,18,Kvium,18.0,,,,,L,,False,3.0,96.0,B5,,,,,,,,
LY_L_2022__SP_019,LY_L_2022,SP_019,19,Rembrandt,19.0,,,,,L,,False,4.0,17.0,B16,,,,,,,,
LY_L_2022__SP_020,LY_L_2022,SP_020,20,Kvium,20.0,,,,,L,,False,4.0,29.0,B5,,,,,,,,
LY_L_2022__SP_021,LY_L_2022,SP_021,21,Heerup,21.0,,,,,L,,False,4.0,43.0,B7,,,,,,,,
LY_L_2022__SP_022,LY_L_2022,SP_022,22,Rembrandt,22.0,,,,,L,,True,4.0,62.0,A16,,,,,,,,
LY_L_2022__SP_023,LY_L_2022,SP_023,23,Kvium,23.0,,,,,L,,True,4.0,79.0,A5,,,,,,,,
LY_L_2022__SP_024,LY_L_2022,SP_024,24,Heerup,24.0,,,,,L,,True,4.0,84.0,A7,,,,,,,,
LY_R_2022__SP_001,LY_R_2022,SP_001,1,Rembrandt,1.0,,,,,R,NORMAL,False,1.0,7.0,A16,,,,,,,,
LY_R_2022__SP_002,LY_R_2022,SP_002,2,Heerup,2.0,,,,,R,NORMAL,False,1.0,20.0,A7,,,,,,,,
LY_R_2022__SP_003,LY_R_2022,SP_003,3,Kvium,3.0,,,,,R,NORMAL,True,3.0,7.0,B5,,,,,,,,
LY_R_2022__SP_004,LY_R_2022,SP_004,4,Heerup,4.0,,,,,R,NORMAL,True,3.0,8.0,B7,,,,,,,,
LY_R_2022__SP_005,LY_R_2022,SP_005,5,Rembrandt,5.0,,,,,R,NORMAL,True,3.0,20.0,B16,,,,,,,,
LY_R_2022__SP_006,LY_R_2022,SP_006,6,Kvium,6.0,,,,,R,NORMAL,False,4.0,23.0,A5,,,,,,,,
LY_R_2022__SP_007,LY_R_2022,SP_007,7,Heerup,7.0,,,,,R,NORMAL,True,6.0,24.0,B7,,,,,,,,
LY_R_2022__SP_008,LY_R_2022,SP_008,8,Rembrandt,8.0,,,,,R,NORMAL,True,7.0,12.0,B16,,,,,,,,
LY_R_2022__SP_009,LY_R_2022,SP_009,9,Kvium,9.0,,,,,R,NORMAL,True,7.0,15.0,B5,,,,,,,,
LY_R_2022__SP_010,LY_R_2022,SP_010,10,Heerup,10.0,,,,,R,NORMAL,False,8.0,1.0,A7,,,,,,,,
LY_R_2022__SP_011,LY_R_2022,SP_011,11,Rembrandt,11.0,,,,,R,NORMAL,False,8.0,5.0,A16,,,,,,,,
LY_R_2022__SP_012,LY_R_2022,SP_012,12,Kvium,12.0,,,,,R,NORMAL,False,8.0,21.0,A5,,,,,,,,
LY_R_2022__SP_013,LY_R_2022,SP_013,13,Heerup,13.0,,,,,R,NORMAL,False,9.0,12.0,A7,,,,,,,,
LY_R_2022__SP_014,LY_R_2022,SP_014,14,Kvium,14.0,,,,,R,NORMAL,False,9.0,22.0,A5,,,,,,,,
LY_R_2022__SP_015,LY_R_2022,SP_015,15,Rembrandt,15.0,,,,,R,NORMAL,False,9.0,26.0,A16,,,,,,,,
LY_R_2022__SP_016,LY_R_2022,SP_016,16,Rembrandt,16.0,,,,,R,NORMAL,True,10.0,2.0,B16,,,,,,,,
LY_R_2022__SP_017,LY_R_2022,SP_017,17,Heerup,17.0,,,,,R,NORMAL,True,10.0,16.0,B7,,,,,,,,
LY_R_2022__SP_018,LY_R_2022,SP_018,18,Kvium,18.0,,,,,R,NORMAL,True,10.0,20.0,B5,,,,,,,,
LY_R_2022__SP_019,LY_R_2022,SP_019,19,Rembrandt,19.0,,,,,R,NORMAL,False,13.0,12.0,A16,,,,,,,,
LY_R_2022__SP_020,LY_R_2022,SP_020,20,Heerup,20.0,,,,,R,NORMAL,False,13.0,19.0,A7,,,,,,,,
LY_R_2022__SP_021,LY_R_2022,SP_021,21,Heerup,21.0,,,,,R,NORMAL,True,14.0,15.0,B7,,,,,,,,
LY_R_2022__SP_022,LY_R_2022,SP_022,22,Kvium,22.0,,,,,R,NORMAL,True,15.0,11.0,B5,,,,,,,,
LY_R_2022__SP_023,LY_R_2022,SP_023,23,Rembrandt,23.0,,,,,R,NORMAL,True,15.0,19.0,B16,,,,,,,,
LY_R_2022__SP_024,LY_R_2022,SP_024,24,Kvium,24.0,,,,,R,NORMAL,False,16.0,9.0,A5,,,,,,,,
LY_S_2022__SP_001,LY_S_2022,SP_001,1,Kvium,1.0,,,,,S,,False,1.0,22.0,A5,,,,,,,,
LY_S_2022__SP_002,LY_S_2022,SP_002,2,Heerup,2.0,,,,,S,,False,1.0,32.0,A7,,,,,,,,
LY_S_2022__SP_003,LY_S_2022,SP_003,3,Rembrandt,3.0,,,,,S,,False,1.0,41.0,A16,,,,,,,,
LY_S_2022__SP_004,LY_S_2022,SP_004,4,Rembrandt,4.0,,,,,S,,True,2.0,3.0,B16,,,,,,,,
LY_S_2022__SP_005,LY_S_2022,SP_005,5,Kvium,5.0,,,,,S,,True,2.0,13.0,B5,,,,,,,,
LY_S_2022__SP_006,LY_S_2022,SP_006,6,Heerup,6.0,,,,,S,,True,2.0,48.0,B7,,,,,,,,
LY_S_2022__SP_007,LY_S_2022,SP_007,7,Heerup,7.0,,,,,S,,True,3.0,16.0,B7,,,,,,,,
LY_S_2022__SP_008,LY_S_2022,SP_008,8,Kvium,8.0,,,,,S,,True,3.0,32.0,B5,,,,,,,,
LY_S_2022__SP_009,LY_S_2022,SP_009,9,Rembrandt,9.0,,,,,S,,True,3.0,38.0,B16,,,,,,,,
LY_S_2022__SP_010,LY_S_2022,SP_010,10,Rembrandt,10.0,,,,,S,,False,4.0,21.0,A16,,,,,,,,
LY_S_2022__SP_011,LY_S_2022,SP_011,11,Heerup,11.0,,,,,S,,False,4.0,25.0,A7,,,,,,,,
LY_S_2022__SP_012,LY_S_2022,SP_012,12,Kvium,12.0,,,,,S,,False,4.0,49.0,A5,,,,,,,,
LY_S_2022__SP_013,LY_S_2022,SP_013,13,Kvium,13.0,,,,,S,,False,5.0,38.0,A5,,,,,,,,
LY_S_2022__SP_014,LY_S_2022,SP_014,14,Heerup,14.0,,,,,S,,False,5.0,39.0,A7,,,,,,,,
LY_S_2022__SP_015,LY_S_2022,SP_015,15,Rembrandt,15.0,,,,,S,,False,5.0,47.0,A16,,,,,,,,
LY_S_2022__SP_016,LY_S_2022,SP_016,16,Kvium,16.0,,,,,S,,True,6.0,28.0,B5,,,,,,,,
LY_S_2022__SP_017,LY_S_2022,SP_017,17,Rembrandt,17.0,,,,,S,,True,6.0,30.0,B16,,,,,,,,
LY_S_2022__SP_018,LY_S_2022,SP_018,18,Heerup,18.0,,,,,S,,True,6.0,45.0,B7,,,,,,,,
LY_S_2022__SP_019,LY_S_2022,SP_019,19,Rembrandt,19.0,,,,,S,,True,7.0,13.0,B16,,,,,,,,
LY_S_2022__SP_020,LY_S_2022,SP_020,20,Kvium,20.0,,,,,S,,True,7.0,40.0,B5,,,,,,,,
LY_S_2022__SP_021,LY_S_2022,SP_021,21,Heerup,21.0,,,,,S,,True,7.0,50.0,B7,,,,,,,,
LY_S_2022__SP_022,LY_S_2022,SP_022,22,Heerup,22.0,,,,,S,,False,8.0,16.0,A7,,,,,,,,
LY_S_2022__SP_023,LY_S_2022,SP_023,23,Rembrandt,23.0,,,,,S,,False,8.0,34.0,A16,,,,,,,,
LY_S_2022__SP_024,LY_S_2022,SP_024,24,Kvium,24.0,,,,,S,,False,8.0,49.0,A5,,,,,,,,
LY_T_2023__SP_001,LY_T_2023,SP_001,1,Heerup,1.0,1.0,1.0,False,150.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_002,LY_T_2023,SP_002,2,Heerup,2.0,2.0,1.0,False,450.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_003,LY_T_2023,SP_003,3,Heerup,3.0,1.0,1.0,False,300.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_004,LY_T_2023,SP_004,4,Sheriff,4.0,4.0,1.0,False,150.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_005,LY_T_2023,SP_005,5,Sheriff,5.0,1.0,1.0,False,300.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_006,LY_T_2023,SP_006,6,Kvium,6.0,6.0,1.0,False,150.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_007,LY_T_2023,SP_007,7,Kvium,7.0,7.0,1.0,False,450.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_008,LY_T_2023,SP_008,8,Rembrandt,8.0,8.0,1.0,False,150.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_009,LY_T_2023,SP_009,9,Kvium,9.0,1.0,1.0,False,300.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_010,LY_T_2023,SP_010,10,Rembrandt,10.0,1.0,1.0,False,300.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_011,LY_T_2023,SP_011,11,Rembrandt,11.0,11.0,1.0,False,450.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_012,LY_T_2023,SP_012,12,Sheriff,12.0,12.0,1.0,False,450.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_013,LY_T_2023,SP_013,13,Kvium,13.0,1.0,1.0,False,450.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_014,LY_T_2023,SP_014,14,Sheriff,14.0,2.0,1.0,False,150.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_015,LY_T_2023,SP_015,15,Kvium,15.0,3.0,1.0,False,150.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_016,LY_T_2023,SP_016,16,Sheriff,16.0,4.0,1.0,False,450.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_017,LY_T_2023,SP_017,17,Rembrandt,17.0,2.0,1.0,False,300.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_018,LY_T_2023,SP_018,18,Heerup,18.0,2.0,1.0,False,300.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_019,LY_T_2023,SP_019,19,Rembrandt,19.0,7.0,1.0,False,450.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_020,LY_T_2023,SP_020,20,Heerup,20.0,8.0,1.0,False,150.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_021,LY_T_2023,SP_021,21,Rembrandt,21.0,9.0,1.0,False,150.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_022,LY_T_2023,SP_022,22,Kvium,22.0,2.0,1.0,False,300.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_023,LY_T_2023,SP_023,23,Heerup,23.0,11.0,1.0,False,450.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_024,LY_T_2023,SP_024,24,Sheriff,24.0,2.0,1.0,False,300.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_025,LY_T_2023,SP_025,25,Rembrandt,25.0,3.0,1.0,False,300.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_026,LY_T_2023,SP_026,26,Sheriff,26.0,3.0,1.0,False,300.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_027,LY_T_2023,SP_027,27,Rembrandt,27.0,3.0,1.0,False,150.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_028,LY_T_2023,SP_028,28,Kvium,28.0,3.0,1.0,False,300.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_029,LY_T_2023,SP_029,29,Sheriff,29.0,5.0,1.0,False,450.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_030,LY_T_2023,SP_030,30,Kvium,30.0,6.0,1.0,False,150.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_031,LY_T_2023,SP_031,31,Sheriff,31.0,7.0,1.0,False,150.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_032,LY_T_2023,SP_032,32,Heerup,32.0,8.0,1.0,False,150.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_033,LY_T_2023,SP_033,33,Heerup,33.0,9.0,1.0,False,450.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_034,LY_T_2023,SP_034,34,Rembrandt,34.0,10.0,1.0,False,450.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_035,LY_T_2023,SP_035,35,Heerup,35.0,3.0,1.0,False,300.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_036,LY_T_2023,SP_036,36,Kvium,36.0,12.0,1.0,False,450.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_037,LY_T_2023,SP_037,37,Heerup,37.0,4.0,2.0,False,300.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_038,LY_T_2023,SP_038,38,Sheriff,38.0,4.0,2.0,False,300.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_039,LY_T_2023,SP_039,39,Kvium,39.0,3.0,2.0,False,450.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_040,LY_T_2023,SP_040,40,Sheriff,40.0,4.0,2.0,False,450.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_041,LY_T_2023,SP_041,41,Rembrandt,41.0,4.0,2.0,False,300.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_042,LY_T_2023,SP_042,42,Heerup,42.0,6.0,2.0,False,150.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_043,LY_T_2023,SP_043,43,Heerup,43.0,7.0,2.0,False,450.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_044,LY_T_2023,SP_044,44,Kvium,44.0,4.0,2.0,False,300.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_045,LY_T_2023,SP_045,45,Rembrandt,45.0,9.0,2.0,False,450.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_046,LY_T_2023,SP_046,46,Kvium,46.0,10.0,2.0,False,150.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_047,LY_T_2023,SP_047,47,Rembrandt,47.0,11.0,2.0,False,150.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_048,LY_T_2023,SP_048,48,Sheriff,48.0,12.0,2.0,False,150.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_049,LY_T_2023,SP_049,49,Sheriff,49.0,1.0,2.0,False,450.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_050,LY_T_2023,SP_050,50,Kvium,50.0,2.0,2.0,False,450.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_051,LY_T_2023,SP_051,51,Heerup,51.0,5.0,2.0,False,300.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_052,LY_T_2023,SP_052,52,Heerup,52.0,4.0,2.0,False,450.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_053,LY_T_2023,SP_053,53,Sheriff,53.0,5.0,2.0,False,300.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_054,LY_T_2023,SP_054,54,Sheriff,54.0,6.0,2.0,False,150.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_055,LY_T_2023,SP_055,55,Rembrandt,55.0,5.0,2.0,False,300.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_056,LY_T_2023,SP_056,56,Heerup,56.0,8.0,2.0,False,150.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_057,LY_T_2023,SP_057,57,Rembrandt,57.0,9.0,2.0,False,150.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_058,LY_T_2023,SP_058,58,Kvium,58.0,10.0,2.0,False,150.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_059,LY_T_2023,SP_059,59,Kvium,59.0,5.0,2.0,False,300.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_060,LY_T_2023,SP_060,60,Rembrandt,60.0,12.0,2.0,False,450.0,T,,,,,,ZERO,,,,,,,
LY_T_2023__SP_061,LY_T_2023,SP_061,61,Heerup,61.0,6.0,2.0,False,300.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_062,LY_T_2023,SP_062,62,Kvium,62.0,2.0,2.0,False,150.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_063,LY_T_2023,SP_063,63,Sheriff,63.0,3.0,2.0,False,150.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_064,LY_T_2023,SP_064,64,Heerup,64.0,4.0,2.0,False,450.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_065,LY_T_2023,SP_065,65,Rembrandt,65.0,5.0,2.0,False,450.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_066,LY_T_2023,SP_066,66,Kvium,66.0,6.0,2.0,False,300.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_067,LY_T_2023,SP_067,67,Rembrandt,67.0,7.0,2.0,False,150.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_068,LY_T_2023,SP_068,68,Sheriff,68.0,6.0,2.0,False,300.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_069,LY_T_2023,SP_069,69,Heerup,69.0,9.0,2.0,False,150.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_070,LY_T_2023,SP_070,70,Kvium,70.0,10.0,2.0,False,450.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_071,LY_T_2023,SP_071,71,Sheriff,71.0,11.0,2.0,False,450.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_072,LY_T_2023,SP_072,72,Rembrandt,72.0,6.0,2.0,False,300.0,T,,,,,,NORMAL,,,,,,,
LY_T_2023__SP_073,LY_T_2023,SP_073,73,Kvium,73.0,1.0,3.0,False,150.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_074,LY_T_2023,SP_074,74,Heerup,74.0,2.0,3.0,False,450.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_075,LY_T_2023,SP_075,75,Sheriff,75.0,7.0,3.0,False,300.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_076,LY_T_2023,SP_076,76,Heerup,76.0,4.0,3.0,False,150.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_077,LY_T_2023,SP_077,77,Rembrandt,77.0,5.0,3.0,False,450.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_078,LY_T_2023,SP_078,78,Rembrandt,78.0,6.0,3.0,False,150.0,T,,,,,,HALF,,,,,,,
LY_T_2023__SP_079,LY_T_2023,SP_079,79,Sheriff,79.0,7.0,3.0,False,450.0,T,,,,,,HALF,,,,,,,
