bio_sample_ID,plot,letter,cultivar,spray,washed_date,DNA_plate_number,DNA_ext_date,Days_between_DNA_x,DNA_conc_individual,DNA_conc_plate,amplicon,lib_plate_number,plate_position,PCR1_date,PCR2_date,lib_DNA_conc,index_set,S5_index,N7_index,index_pair,seq_sample_ID,run_number,run_ID,note,YEAR,LEAF_PROTOCOL,LIBRARY_PREPARATION,Unnamed: 0,dir_name,full_path,forward_fq,reverse_fq,corrected_forward_fq,corrected_reverse_fq,current_seq_sample_ID,correct_seq_sample_ID,suggested_correct_seq_sample_ID,SUGGESTED_EQUALS_CORRECT,ALREADY_CORRECT,location,sample_date,LY,SP,LY_SP,SP_sample_number,SP_plot,SP_id_on_field_2022,SP_cultivar,SP_spray,SP_fertilizer,SP_lane,SP_parcel,SP_location,triplicate,BS,EX,LP,LY_SP_BS,LY_SP_BS_EX,LY_SP_BS_EX_LP
H-200622-w-8-6,8.0,A5,kvium,n,2023-03-15,6.0,2023-06-15,92.0,,0.22523870484950906,16S,6.0,7G,,2024-03-04 00:00:00,15.820960668067611,2,S507,N722,271.0,H-200622-16S-w-8-6,6.0,seq240412_BRLUV,,2022,WASHED,amplicon,3.0,seq240412_BRLUV,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240412_BRLUV,H-200622-16S-w-8-6_S132_L001_R1_001.fastq.gz,H-200622-16S-w-8-6_S132_L001_R2_001.fastq.gz,H-200622-16S-w-8-6_S132_L001_R1_001.fastq.gz,H-200622-16S-w-8-6_S132_L001_R2_001.fastq.gz,H-200622-16S-w-8-6,,H-200622-16S-w-8-6,False,True,H,200622,LY_H_2022,SP_008,LY_H_2022__SP_008,8.0,8.0,A5,Kvium,False,,3.0,19.0,H,6,BS_200622_W_6,EX_230615,LP_240304_16S,LY_H_2022__SP_008__BS_200622_W_6,LY_H_2022__SP_008__BS_200622_W_6__EX_230615,LY_H_2022__SP_008__BS_200622_W_6__EX_230615__LP_240304_16S
R-210622-w-11-2,11.0,A16,Rembrandt,y,2023-03-09,12.0,2023-03-23,14.0,,0.1782843437429708,16S,12.0,9H,,2024-03-14 00:00:00,19.72170390798285,4,S520,N724,381.0,R-210622-16S-w-11-2,7.0,seq240424_T6U6R,,2022,WASHED,amplicon,4.0,seq240424_T6U6R,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240424_T6U6R,R-210622-16S-w-11-2_S152_L001_R1_001.fastq.gz,R-210622-16S-w-11-2_S152_L001_R2_001.fastq.gz,R-210622-16S-w-11-2_S152_L001_R1_001.fastq.gz,R-210622-16S-w-11-2_S152_L001_R2_001.fastq.gz,R-210622-16S-w-11-2,,R-210622-16S-w-11-2,False,True,R,210622,LY_R_2022,SP_011,LY_R_2022__SP_011,11.0,11.0,A16,Rembrandt,False,NORMAL,8.0,5.0,R,2,BS_210622_W_2,EX_230323,LP_240314_16S,LY_R_2022__SP_011__BS_210622_W_2,LY_R_2022__SP_011__BS_210622_W_2__EX_230323,LY_R_2022__SP_011__BS_210622_W_2__EX_230323__LP_240314_16S
R-040722-w-G1,1.0,A16,rembrandt,n,2023-02-09,2.0,2023-02-09,0.0,,0.10109912899211945,ITS,2.0,7E,,2024-04-17 00:00:00,6.276525932636031,2,S505,N722,247.0,R-040722-ITS-w-G1,7.0,seq240424_T6U6R,,2022,WASHED,amplicon,4.0,seq240424_T6U6R,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240424_T6U6R,R-040722-ITS-w-G1_S131_L001_R1_001.fastq.gz,R-040722-ITS-w-G1_S131_L001_R2_001.fastq.gz,R-040722-ITS-w-G1_S131_L001_R1_001.fastq.gz,R-040722-ITS-w-G1_S131_L001_R2_001.fastq.gz,R-040722-ITS-w-G1,,R-040722-ITS-w-G1,False,True,R,040722,LY_R_2022,SP_001,LY_R_2022__SP_001,1.0,1.0,A16,Rembrandt,False,NORMAL,1.0,7.0,R,0,BS_040722_W_0,EX_230209,LP_240417_ITS,LY_R_2022__SP_001__BS_040722_W_0,LY_R_2022__SP_001__BS_040722_W_0__EX_230209,LY_R_2022__SP_001__BS_040722_W_0__EX_230209__LP_240417_ITS
R-070722-w-H1,1.0,A16,rembrandt,n,2023-02-09,2.0,2023-02-10,1.0,,0.9404811281625881,ITS,2.0,10E,,2024-04-17 00:00:00,16.14105248638771,2,S505,N726,250.0,R-070722-ITS-w-H1,7.0,seq240424_T6U6R,,2022,WASHED,amplicon,4.0,seq240424_T6U6R,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240424_T6U6R,R-070722-ITS-w-H1_S155_L001_R1_001.fastq.gz,R-070722-ITS-w-H1_S155_L001_R2_001.fastq.gz,R-070722-ITS-w-H1_S155_L001_R1_001.fastq.gz,R-070722-ITS-w-H1_S155_L001_R2_001.fastq.gz,R-070722-ITS-w-H1,,R-070722-ITS-w-H1,False,True,R,070722,LY_R_2022,SP_001,LY_R_2022__SP_001,1.0,1.0,A16,Rembrandt,False,NORMAL,1.0,7.0,R,0,BS_070722_W_0,EX_230210,LP_240417_ITS,LY_R_2022__SP_001__BS_070722_W_0,LY_R_2022__SP_001__BS_070722_W_0__EX_230210,LY_R_2022__SP_001__BS_070722_W_0__EX_230210__LP_240417_ITS
R-210622-w-1-1,1.0,A16,Rembrandt,y,2023-03-02,12.0,2023-07-17,137.0,,0.09731011263495794,16S,12.0,1A,,2024-03-14 00:00:00,16.32733147090675,4,S510,N715,289.0,R-210622-16S-w-1-1,7.0,seq240424_T6U6R,,2022,WASHED,amplicon,4.0,seq240424_T6U6R,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240424_T6U6R,R-210622-16S-w-1-1_S81_L001_R1_001.fastq.gz,R-210622-16S-w-1-1_S81_L001_R2_001.fastq.gz,R-210622-16S-w-1-1_S81_L001_R1_001.fastq.gz,R-210622-16S-w-1-1_S81_L001_R2_001.fastq.gz,R-210622-16S-w-1-1,,R-210622-16S-w-1-1,False,True,R,210622,LY_R_2022,SP_001,LY_R_2022__SP_001,1.0,1.0,A16,Rembrandt,False,NORMAL,1.0,7.0,R,1,BS_210622_W_1,EX_230717,LP_240314_16S,LY_R_2022__SP_001__BS_210622_W_1,LY_R_2022__SP_001__BS_210622_W_1__EX_230717,LY_R_2022__SP_001__BS_210622_W_1__EX_230717__LP_240314_16S
R-210622-w-1-2,1.0,A16,Rembrandt,y,2023-03-02,12.0,2023-03-08,6.0,,0.011590808151415844,16S,12.0,1B,,2024-03-14 00:00:00,9.154711079582762,4,S511,N715,301.0,R-210622-16S-w-1-2,7.0,seq240424_T6U6R,DNA_input_below_100pg,2022,WASHED,amplicon,4.0,seq240424_T6U6R,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240424_T6U6R,R-210622-16S-w-1-2_S82_L001_R1_001.fastq.gz,R-210622-16S-w-1-2_S82_L001_R2_001.fastq.gz,R-210622-16S-w-1-2_S82_L001_R1_001.fastq.gz,R-210622-16S-w-1-2_S82_L001_R2_001.fastq.gz,R-210622-16S-w-1-2,,R-210622-16S-w-1-2,False,True,R,210622,LY_R_2022,SP_001,LY_R_2022__SP_001,1.0,1.0,A16,Rembrandt,False,NORMAL,1.0,7.0,R,2,BS_210622_W_2,EX_230308,LP_240314_16S,LY_R_2022__SP_001__BS_210622_W_2,LY_R_2022__SP_001__BS_210622_W_2__EX_230308,LY_R_2022__SP_001__BS_210622_W_2__EX_230308__LP_240314_16S
R-210622-w-1-3,1.0,A16,Rembrandt,y,2023-03-02,12.0,2023-03-08,6.0,,0.053185603099038435,16S,12.0,1C,,2024-03-14 00:00:00,22.318958179101777,4,S513,N715,313.0,R-210622-16S-w-1-3,7.0,seq240424_T6U6R,,2022,WASHED,amplicon,4.0,seq240424_T6U6R,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240424_T6U6R,R-210622-16S-w-1-3_S83_L001_R1_001.fastq.gz,R-210622-16S-w-1-3_S83_L001_R2_001.fastq.gz,R-210622-16S-w-1-3_S83_L001_R1_001.fastq.gz,R-210622-16S-w-1-3_S83_L001_R2_001.fastq.gz,R-210622-16S-w-1-3,,R-210622-16S-w-1-3,False,True,R,210622,LY_R_2022,SP_001,LY_R_2022__SP_001,1.0,1.0,A16,Rembrandt,False,NORMAL,1.0,7.0,R,3,BS_210622_W_3,EX_230308,LP_240314_16S,LY_R_2022__SP_001__BS_210622_W_3,LY_R_2022__SP_001__BS_210622_W_3__EX_230308,LY_R_2022__SP_001__BS_210622_W_3__EX_230308__LP_240314_16S
R-210622-w-1-4,1.0,A16,Rembrandt,y,2023-03-02,12.0,2023-03-08,6.0,,0.14583985143714764,16S,12.0,1D,,2024-03-14 00:00:00,24.118362425244726,4,S515,N715,325.0,R-210622-16S-w-1-4,7.0,seq240424_T6U6R,,2022,WASHED,amplicon,4.0,seq240424_T6U6R,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240424_T6U6R,R-210622-16S-w-1-4_S84_L001_R1_001.fastq.gz,R-210622-16S-w-1-4_S84_L001_R2_001.fastq.gz,R-210622-16S-w-1-4_S84_L001_R1_001.fastq.gz,R-210622-16S-w-1-4_S84_L001_R2_001.fastq.gz,R-210622-16S-w-1-4,,R-210622-16S-w-1-4,False,True,R,210622,LY_R_2022,SP_001,LY_R_2022__SP_001,1.0,1.0,A16,Rembrandt,False,NORMAL,1.0,7.0,R,4,BS_210622_W_4,EX_230308,LP_240314_16S,LY_R_2022__SP_001__BS_210622_W_4,LY_R_2022__SP_001__BS_210622_W_4__EX_230308,LY_R_2022__SP_001__BS_210622_W_4__EX_230308__LP_240314_16S
R-210622-w-1-7,1.0,A16,Rembrandt,y,2023-03-02,12.0,2023-03-09,7.0,,0.16115195258494988,16S,12.0,1G,,2024-03-14 00:00:00,18.450763720655804,4,S518,N715,361.0,R-210622-16S-w-1-7,7.0,seq240424_T6U6R,,2022,WASHED,amplicon,4.0,seq240424_T6U6R,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240424_T6U6R,R-210622-16S-w-1-7_S87_L001_R1_001.fastq.gz,R-210622-16S-w-1-7_S87_L001_R2_001.fastq.gz,R-210622-16S-w-1-7_S87_L001_R1_001.fastq.gz,R-210622-16S-w-1-7_S87_L001_R2_001.fastq.gz,R-210622-16S-w-1-7,,R-210622-16S-w-1-7,False,True,R,210622,LY_R_2022,SP_001,LY_R_2022__SP_001,1.0,1.0,A16,Rembrandt,False,NORMAL,1.0,7.0,R,7,BS_210622_W_7,EX_230309,LP_240314_16S,LY_R_2022__SP_001__BS_210622_W_7,LY_R_2022__SP_001__BS_210622_W_7__EX_230309,LY_R_2022__SP_001__BS_210622_W_7__EX_230309__LP_240314_16S
R-280622-w-F11,11.0,A16,rembrandt,n,2023-01-20,2.0,2023-02-08,19.0,,0.45745195631135077,ITS,2.0,5G,,2024-04-17 00:00:00,9.982276202681714,2,S507,N720,269.0,R-280622-ITS-w-F11,7.0,seq240424_T6U6R,,2022,WASHED,amplicon,4.0,seq240424_T6U6R,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240424_T6U6R,R-280622-ITS-w-F11_S117_L001_R1_001.fastq.gz,R-280622-ITS-w-F11_S117_L001_R2_001.fastq.gz,R-280622-ITS-w-F11_S117_L001_R1_001.fastq.gz,R-280622-ITS-w-F11_S117_L001_R2_001.fastq.gz,R-280622-ITS-w-F11,,R-280622-ITS-w-F11,False,True,R,280622,LY_R_2022,SP_011,LY_R_2022__SP_011,11.0,11.0,A16,Rembrandt,False,NORMAL,8.0,5.0,R,0,BS_280622_W_0,EX_230208,LP_240417_ITS,LY_R_2022__SP_011__BS_280622_W_0,LY_R_2022__SP_011__BS_280622_W_0__EX_230208,LY_R_2022__SP_011__BS_280622_W_0__EX_230208__LP_240417_ITS
