Path,Reads,read_name
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1B_ITS_P1_crushed_newP_S30_R2_001.fastq.gz,12534,_1B_ITS_P1_crushed_newP_S30_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1C_16S_P4_crushed_S19_R1_001.fastq.gz,2056,_1C_16S_P4_crushed_S19_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1C_16S_P4_crushed_S19_R2_001.fastq.gz,2056,_1C_16S_P4_crushed_S19_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1C_16S_P4_crushed_newP_S27_R1_001.fastq.gz,1947,_1C_16S_P4_crushed_newP_S27_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1C_16S_P4_crushed_newP_S27_R2_001.fastq.gz,1947,_1C_16S_P4_crushed_newP_S27_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1C_ITS_P1_crushed_S23_R1_001.fastq.gz,1617,_1C_ITS_P1_crushed_S23_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1C_ITS_P1_crushed_S23_R2_001.fastq.gz,1617,_1C_ITS_P1_crushed_S23_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1C_ITS_P1_crushed_newP_S31_R1_001.fastq.gz,6403,_1C_ITS_P1_crushed_newP_S31_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1C_ITS_P1_crushed_newP_S31_R2_001.fastq.gz,6403,_1C_ITS_P1_crushed_newP_S31_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1D_16S_P4_crushed_S20_R1_001.fastq.gz,2819,_1D_16S_P4_crushed_S20_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1D_16S_P4_crushed_S20_R2_001.fastq.gz,2819,_1D_16S_P4_crushed_S20_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1D_16S_P4_crushed_newP_S28_R1_001.fastq.gz,352,_1D_16S_P4_crushed_newP_S28_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1D_16S_P4_crushed_newP_S28_R2_001.fastq.gz,352,_1D_16S_P4_crushed_newP_S28_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1D_ITS_P1_crushed_S24_R1_001.fastq.gz,1305,_1D_ITS_P1_crushed_S24_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1D_ITS_P1_crushed_S24_R2_001.fastq.gz,1305,_1D_ITS_P1_crushed_S24_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1D_ITS_P1_crushed_newP_S32_R1_001.fastq.gz,24587,_1D_ITS_P1_crushed_newP_S32_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1D_ITS_P1_crushed_newP_S32_R2_001.fastq.gz,24587,_1D_ITS_P1_crushed_newP_S32_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-10G_S87_L001_R1_001.fastq.gz,3620934,R-040722-s-10G_S87_L001_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-10G_S87_L001_R2_001.fastq.gz,3620934,R-040722-s-10G_S87_L001_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-10G_S87_L002_R1_001.fastq.gz,3934028,R-040722-s-10G_S87_L002_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-10G_S87_L002_R2_001.fastq.gz,3934028,R-040722-s-10G_S87_L002_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-10G_S87_L003_R1_001.fastq.gz,4098782,R-040722-s-10G_S87_L003_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-10G_S87_L003_R2_001.fastq.gz,4098782,R-040722-s-10G_S87_L003_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-10G_S87_L004_R1_001.fastq.gz,4262551,R-040722-s-10G_S87_L004_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-10G_S87_L004_R2_001.fastq.gz,4262551,R-040722-s-10G_S87_L004_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-11G_S96_L001_R1_001.fastq.gz,3435829,R-040722-s-11G_S96_L001_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-11G_S96_L001_R2_001.fastq.gz,3435829,R-040722-s-11G_S96_L001_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-11G_S96_L002_R1_001.fastq.gz,3705930,R-040722-s-11G_S96_L002_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-11G_S96_L002_R2_001.fastq.gz,3705930,R-040722-s-11G_S96_L002_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-11G_S96_L003_R1_001.fastq.gz,3925708,R-040722-s-11G_S96_L003_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-11G_S96_L003_R2_001.fastq.gz,3925708,R-040722-s-11G_S96_L003_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-11G_S96_L004_R1_001.fastq.gz,4063847,R-040722-s-11G_S96_L004_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-11G_S96_L004_R2_001.fastq.gz,4063847,R-040722-s-11G_S96_L004_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-12G_S105_L001_R1_001.fastq.gz,8197329,R-040722-s-12G_S105_L001_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-12G_S105_L001_R2_001.fastq.gz,8197329,R-040722-s-12G_S105_L001_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-12G_S105_L002_R1_001.fastq.gz,8491137,R-040722-s-12G_S105_L002_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-12G_S105_L002_R2_001.fastq.gz,8491137,R-040722-s-12G_S105_L002_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-12G_S105_L003_R1_001.fastq.gz,8732095,R-040722-s-12G_S105_L003_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-12G_S105_L003_R2_001.fastq.gz,8732095,R-040722-s-12G_S105_L003_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-12G_S105_L004_R1_001.fastq.gz,8854196,R-040722-s-12G_S105_L004_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-12G_S105_L004_R2_001.fastq.gz,8854196,R-040722-s-12G_S105_L004_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-13G_S114_L001_R1_001.fastq.gz,5450496,R-040722-s-13G_S114_L001_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-13G_S114_L001_R2_001.fastq.gz,5450496,R-040722-s-13G_S114_L001_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-13G_S114_L002_R1_001.fastq.gz,5706579,R-040722-s-13G_S114_L002_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-13G_S114_L002_R2_001.fastq.gz,5706579,R-040722-s-13G_S114_L002_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-13G_S114_L003_R1_001.fastq.gz,5906104,R-040722-s-13G_S114_L003_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-13G_S114_L003_R2_001.fastq.gz,5906104,R-040722-s-13G_S114_L003_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-13G_S114_L004_R1_001.fastq.gz,6043901,R-040722-s-13G_S114_L004_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-13G_S114_L004_R2_001.fastq.gz,6043901,R-040722-s-13G_S114_L004_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-14G_S123_L001_R1_001.fastq.gz,4504917,R-040722-s-14G_S123_L001_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-14G_S123_L001_R2_001.fastq.gz,4504917,R-040722-s-14G_S123_L001_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-14G_S123_L002_R1_001.fastq.gz,4685693,R-040722-s-14G_S123_L002_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-14G_S123_L002_R2_001.fastq.gz,4685693,R-040722-s-14G_S123_L002_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-14G_S123_L003_R1_001.fastq.gz,4829321,R-040722-s-14G_S123_L003_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-14G_S123_L003_R2_001.fastq.gz,4829321,R-040722-s-14G_S123_L003_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-14G_S123_L004_R1_001.fastq.gz,4928334,R-040722-s-14G_S123_L004_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-14G_S123_L004_R2_001.fastq.gz,4928334,R-040722-s-14G_S123_L004_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-15G_S131_L001_R1_001.fastq.gz,3359568,R-040722-s-15G_S131_L001_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-15G_S131_L001_R2_001.fastq.gz,3359568,R-040722-s-15G_S131_L001_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-15G_S131_L002_R1_001.fastq.gz,3611577,R-040722-s-15G_S131_L002_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-15G_S131_L002_R2_001.fastq.gz,3611577,R-040722-s-15G_S131_L002_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-15G_S131_L003_R1_001.fastq.gz,3723464,R-040722-s-15G_S131_L003_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-15G_S131_L003_R2_001.fastq.gz,3723464,R-040722-s-15G_S131_L003_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-15G_S131_L004_R1_001.fastq.gz,3832039,R-040722-s-15G_S131_L004_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-15G_S131_L004_R2_001.fastq.gz,3832039,R-040722-s-15G_S131_L004_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-16G_S139_L001_R1_001.fastq.gz,6161878,R-040722-s-16G_S139_L001_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-16G_S139_L001_R2_001.fastq.gz,6161878,R-040722-s-16G_S139_L001_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-16G_S139_L002_R1_001.fastq.gz,6469401,R-040722-s-16G_S139_L002_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-16G_S139_L002_R2_001.fastq.gz,6469401,R-040722-s-16G_S139_L002_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-16G_S139_L003_R1_001.fastq.gz,6734176,R-040722-s-16G_S139_L003_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-16G_S139_L003_R2_001.fastq.gz,6734176,R-040722-s-16G_S139_L003_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-16G_S139_L004_R1_001.fastq.gz,6894197,R-040722-s-16G_S139_L004_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-16G_S139_L004_R2_001.fastq.gz,6894197,R-040722-s-16G_S139_L004_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-17G_S148_L001_R1_001.fastq.gz,4472545,R-040722-s-17G_S148_L001_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-17G_S148_L001_R2_001.fastq.gz,4472545,R-040722-s-17G_S148_L001_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-17G_S148_L002_R1_001.fastq.gz,4742155,R-040722-s-17G_S148_L002_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-17G_S148_L002_R2_001.fastq.gz,4742155,R-040722-s-17G_S148_L002_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-17G_S148_L003_R1_001.fastq.gz,4820784,R-040722-s-17G_S148_L003_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-17G_S148_L003_R2_001.fastq.gz,4820784,R-040722-s-17G_S148_L003_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-17G_S148_L004_R1_001.fastq.gz,4883584,R-040722-s-17G_S148_L004_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-17G_S148_L004_R2_001.fastq.gz,4883584,R-040722-s-17G_S148_L004_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-18G_S157_L001_R1_001.fastq.gz,5438374,R-040722-s-18G_S157_L001_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-18G_S157_L001_R2_001.fastq.gz,5438374,R-040722-s-18G_S157_L001_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-18G_S157_L002_R1_001.fastq.gz,5792209,R-040722-s-18G_S157_L002_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-18G_S157_L002_R2_001.fastq.gz,5792209,R-040722-s-18G_S157_L002_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-18G_S157_L003_R1_001.fastq.gz,6196042,R-040722-s-18G_S157_L003_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP/R-040722-s-18G_S157_L003_R2_001.fastq.gz,6196042,R-040722-s-18G_S157_L003_R2_001.fastq.gz
